FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID,Column1
AHF,202509_0090,1,90,0,90,100008,JE,45879,-309,8.31 Merch Fee-2712 Aultman Fo,USD,0,-124.99,GL,09/30/2025,               ,90000,     ,N282027,145728720,Global Ledger Transaction Interface created
AHF,202509_0090,2,90,0,90,100008,JE,45910,-329,Fashion Show CC P9            ,USD,0,15775,GL,09/30/2025,               ,90000,     ,N32801,145760183,Global Ledger Transaction Interface created
AHF,202509_0090,3,90,0,90,100008,JE,45879,-487,Credit Card P9                ,USD,0,124.98,GL,09/30/2025,               ,90000,     ,N3020185,145737595,Global Ledger Transaction Interface created
AHF,202509_0090,4,90,0,90,100008,JE,45879,-486,Credit Card P9                ,USD,0,50,GL,09/30/2025,               ,90000,     ,N3020184,145737594,Global Ledger Transaction Interface created
AHF,202509_0090,5,90,0,90,100008,JE,45879,-485,Credit Card P9                ,USD,0,4000,GL,09/30/2025,               ,90000,     ,N3020183,145737593,Global Ledger Transaction Interface created
AHF,202509_0090,6,90,0,90,100008,JE,45879,-484,Credit Card P9                ,USD,0,1000,GL,09/30/2025,               ,90000,     ,N3020182,145737592,Global Ledger Transaction Interface created
AHF,202509_0090,7,90,0,90,100008,JE,45879,-483,Credit Card P9                ,USD,0,250,GL,09/30/2025,               ,90000,     ,N3020181,145737591,Global Ledger Transaction Interface created
AHF,202509_0090,8,90,0,90,100008,JE,45879,-482,Credit Card P9                ,USD,0,1830,GL,09/30/2025,               ,90000,     ,N3020180,145737590,Global Ledger Transaction Interface created
AHF,202509_0090,9,90,0,90,100008,JE,45879,-481,Credit Card P9                ,USD,0,25,GL,09/30/2025,               ,90000,     ,N3020179,145737589,Global Ledger Transaction Interface created
AHF,202509_0090,10,90,0,90,100008,JE,45879,-480,Credit Card P9                ,USD,0,1285,GL,09/30/2025,               ,90000,     ,N3020178,145737588,Global Ledger Transaction Interface created
AHF,202509_0090,11,90,0,90,100008,JE,45879,-479,Credit Card P9                ,USD,0,100,GL,09/30/2025,               ,90000,     ,N3020177,145737587,Global Ledger Transaction Interface created
AHF,202509_0090,12,90,0,90,100008,JE,45879,-478,Credit Card P9                ,USD,0,51,GL,09/30/2025,               ,90000,     ,N3020176,145737586,Global Ledger Transaction Interface created
AHF,202509_0090,13,90,0,90,100008,JE,45879,-477,Credit Card P9                ,USD,0,1605,GL,09/30/2025,               ,90000,     ,N3020175,145737585,Global Ledger Transaction Interface created
AHF,202509_0090,14,90,0,90,100008,JE,45698,-51,CC Payment -TAF               ,USD,0,-3951.7,GL,09/30/2025,               ,90000,     ,I28023,145622818,Global Ledger Transaction Interface created
AHF,202509_0090,15,90,0,90,100008,AP,09/30/2025,       233-520-1,Cash Disbursement             ,USD,0,-42,AP,09/30/2025,               ,90000,     ,N52001,145493436,Global Ledger Transaction Interface created
AHF,202509_0090,16,90,0,90,100008,AP,09/25/2025,AP170-417-1,Summarized transaction        ,USD,0,-736.83,AP,09/25/2025,               ,90000,     ,N41701,145465789,Global Ledger Transaction Interface created
AHF,202509_0090,17,90,0,90,100008,AP,09/18/2025,       231-285-1,Cash Disbursement             ,USD,0,-428.44,AP,09/18/2025,               ,90000,     ,N28501,145388677,Global Ledger Transaction Interface created
AHF,202509_0090,18,90,0,90,100008,AP,45786,      1291-78-1,Cash Disbursement             ,USD,0,-5000,AP,45786,               ,90000,     ,N7801,145042377,Global Ledger Transaction Interface created
AHF,202509_0090,19,90,0,90,100008,AP,09/30/2025,      1048-519-1,Cash Disbursement             ,USD,0,-515.11,AP,09/30/2025,               ,91000,     ,N51901,145493166,Global Ledger Transaction Interface created
AHF,202509_0090,20,90,0,90,100008,JE,45910,-331,Angel Auction CC P9           ,USD,0,100,GL,09/30/2025,               ,91000,     ,N32803,145760185,Global Ledger Transaction Interface created
AHF,202509_0090,21,90,0,90,100008,JE,45910,-142,Angel Auction Bank Fees       ,USD,0,-27.85,GL,09/30/2025,               ,91000,     ,I13903,145757315,Global Ledger Transaction Interface created
AHF,202509_0090,22,90,0,90,105110,ZB,46000,GL190-3-8245,Auto Offset From Zone 10      ,USD,0,792.51,PR,46000,               ,91000,     ,I308245,145359123,Global Ledger Transaction Interface created
AHF,202509_0090,23,90,0,90,105110,ZB,09/26/2025,GL190-10-8806,Auto Offset From Zone 10      ,USD,0,763.66,PR,09/26/2025,               ,91000,     ,I1008806,145461249,Global Ledger Transaction Interface created
AHF,202509_0090,24,90,0,90,105110,ZB,45698,GL190-29-105,Auto Offset From Zone 10      ,USD,0,100,GL,09/30/2025,               ,91000,     ,I290105,145631838,Global Ledger Transaction Interface created
AHF,202509_0090,25,90,0,90,105110,ZB,45726,GL190-56-107,Auto Offset From Zone 10      ,USD,0,-70,GL,09/30/2025,               ,91000,     ,I560107,145642147,Global Ledger Transaction Interface created
AHF,202509_0090,26,90,0,90,105110,ZB,45879,GL190-302-191,Auto Offset From Zone 10      ,USD,0,225,GL,09/30/2025,               ,91000,     ,N3020191,145738665,Global Ledger Transaction Interface created
AHF,202509_0090,27,90,0,90,105110,ZB,45910,GL190-134-16,Auto Offset From Zone 10      ,USD,0,-384.62,GL,09/30/2025,               ,90000,     ,I134016,145756722,Global Ledger Transaction Interface created
AHF,202509_0090,28,90,0,90,105110,ZB,45910,GL190-133-19,Auto Offset From Zone 10      ,USD,0,-240,GL,09/30/2025,               ,90000,     ,I133019,145756714,Global Ledger Transaction Interface created
AHF,202509_0090,29,90,0,90,105110,ZB,45879,GL190-302-189,Auto Offset From Zone 10      ,USD,0,-10320.98,GL,09/30/2025,               ,90000,     ,N3020189,145738663,Global Ledger Transaction Interface created
AHF,202509_0090,30,90,0,90,105110,ZB,45879,GL190-125-276,Auto Offset From Zone 10      ,USD,0,-330,GL,09/30/2025,               ,90000,     ,I1250276,145746922,Global Ledger Transaction Interface created
AHF,202509_0090,31,90,0,90,105110,ZB,45879,GL190-116-67,Auto Offset From Zone 10      ,USD,0,54,GL,09/30/2025,               ,90000,     ,I116067,145729343,Global Ledger Transaction Interface created
AHF,202509_0090,32,90,0,90,105110,ZB,45848,GL190-258-4,Auto Offset From Zone 10      ,USD,0,-1250,GL,09/30/2025,               ,90000,     ,N25804,145718119,Global Ledger Transaction Interface created
AHF,202509_0090,33,90,0,90,105110,ZB,45848,GL190-111-196,Auto Offset From Zone 10      ,USD,0,-114.3,GL,09/30/2025,               ,90000,     ,I1110196,145725628,Global Ledger Transaction Interface created
AHF,202509_0090,34,90,0,90,105110,ZB,45726,GL190-76-36,Auto Offset From Zone 10      ,USD,0,-1498.4,GL,09/30/2025,               ,90000,     ,I76036,145663912,Global Ledger Transaction Interface created
AHF,202509_0090,35,90,0,90,105110,ZB,45726,GL190-56-115,Auto Offset From Zone 10      ,USD,0,-227.7,GL,09/30/2025,               ,90000,     ,I560115,145642155,Global Ledger Transaction Interface created
AHF,202509_0090,36,90,0,90,105110,ZB,45726,GL190-55-65,Auto Offset From Zone 10      ,USD,0,-327.22,GL,09/30/2025,               ,90000,     ,I55065,145642111,Global Ledger Transaction Interface created
AHF,202509_0090,37,90,0,90,105110,ZB,45698,GL190-38-84,Auto Offset From Zone 10      ,USD,0,-345,GL,09/30/2025,               ,90000,     ,I38084,145642069,Global Ledger Transaction Interface created
AHF,202509_0090,38,90,0,90,105110,ZB,45698,GL190-29-107,Auto Offset From Zone 10      ,USD,0,6500,GL,09/30/2025,               ,90000,     ,I290107,145631840,Global Ledger Transaction Interface created
AHF,202509_0090,39,90,0,90,105110,ZB,45667,GL190-17-142,Auto Offset From Zone 10      ,USD,0,-444.2,GL,09/30/2025,               ,90000,     ,I170142,145603184,Global Ledger Transaction Interface created
AHF,202509_0090,40,90,0,90,105110,ZB,45667,GL190-10-55,Auto Offset From Zone 10      ,USD,0,-228,GL,09/30/2025,               ,90000,     ,I10055,145516885,Global Ledger Transaction Interface created
AHF,202509_0090,41,90,0,90,105110,ZB,09/29/2025,GL190-75-287,Auto Offset From Zone 10      ,USD,0,-605.72,AP,09/29/2025,               ,90000,     ,I750287,145495289,Global Ledger Transaction Interface created
AHF,202509_0090,42,90,0,90,105110,ZB,09/24/2025,GL190-68-230,Auto Offset From Zone 10      ,USD,0,-40,AP,09/25/2025,               ,90000,     ,I680230,145474206,Global Ledger Transaction Interface created
AHF,202509_0090,43,90,0,90,105110,ZB,06/30/2025,GL190-434-199,Auto Offset From Zone 10      ,USD,0,318,AP,09/24/2025,               ,90000,     ,N4340199,145467454,Global Ledger Transaction Interface created
AHF,202509_0090,44,90,0,90,105110,ZB,09/26/2025,GL190-57-202,Auto Offset From Zone 10      ,USD,0,-58.47,AP,09/26/2025,               ,90000,     ,I570202,145458943,Global Ledger Transaction Interface created
AHF,202509_0090,45,90,0,90,105110,ZB,09/15/2025,GL190-55-276,Auto Offset From Zone 10      ,USD,0,-318,AP,09/23/2025,               ,90000,     ,I550276,145458681,Global Ledger Transaction Interface created
AHF,202509_0090,46,90,0,90,105110,ZB,09/30/2025,GL190-4-7347,Auto Offset From Zone 10      ,USD,0,779.13,PR,09/30/2025,               ,90000,     ,I407347,145436171,Global Ledger Transaction Interface created
AHF,202509_0090,47,90,0,90,105110,ZB,45261,GL190-360-246,Auto Offset From Zone 10      ,USD,0,-15.56,AP,09/19/2025,               ,90000,     ,N3600246,145405662,Global Ledger Transaction Interface created
AHF,202509_0090,48,90,0,90,105110,ZB,03/18/2024,GL190-272-255,Auto Offset From Zone 10      ,USD,0,-309.87,AP,09/16/2025,               ,90000,     ,N2720255,145382639,Global Ledger Transaction Interface created
AHF,202509_0090,49,90,0,90,105110,ZB,46000,GL190-226-4,Auto Offset From Zone 10      ,USD,0,-100.63,AP,09/13/2025,               ,90000,     ,N22604,145306443,Global Ledger Transaction Interface created
AHF,202509_0090,50,90,0,90,105110,ZB,08/31/2025,GL190-28-347,Auto Offset From Zone 10      ,USD,0,-0.79,AP,45970,               ,90000,     ,I280347,145206575,Global Ledger Transaction Interface created
AHF,202509_0090,51,90,0,90,105110,ZB,45815,GL190-6-88,Auto Offset From Zone 10      ,USD,0,-78.52,AP,45697,               ,90000,     ,I6088,145182055,Global Ledger Transaction Interface created
AHF,202509_0090,52,90,0,90,105110,ZB,45909,GL190-1-545,Auto Offset From Zone 10      ,USD,0,-7521.22,GL,09/30/2025,               ,90000,     ,I10545,145322799,Global Ledger Transaction Interface created
AHF,202509_0090,53,90,0,90,105110,ZB,08/17/2025,GL190-2-5502,Auto Offset From Zone 10      ,USD,0,-823.49,PR,45817,               ,90000,     ,I205502,145358211,Global Ledger Transaction Interface created
AHF,202509_0090,54,90,0,90,105110,ZB,46000,GL190-3-8243,Auto Offset From Zone 10      ,USD,0,-21930.1,PR,46000,               ,90000,     ,I308243,145359121,Global Ledger Transaction Interface created
AHF,202509_0090,55,90,0,90,105110,ZB,08/31/2025,GL190-6-4390,Auto Offset From Zone 10      ,USD,0,-625.5,PR,45666,               ,90000,     ,R604390,145360033,Global Ledger Transaction Interface created
AHF,202509_0090,56,90,0,90,105110,ZB,08/31/2025,GL190-7-1218,Auto Offset From Zone 10      ,USD,0,-190.5,PR,45666,               ,90000,     ,R701218,145360939,Global Ledger Transaction Interface created
AHF,202509_0090,57,90,0,90,105110,ZB,45786,GL190-16-446,Auto Offset From Zone 10      ,USD,0,-226.05,AP,45878,               ,90000,     ,I160446,145192051,Global Ledger Transaction Interface created
