FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID,Column1
AHF,202502_0090,1,90,0,90,100008,JE,45811,-323,1.31 Merch Fee-2712 Aultman Fo,USD,0,-114.99,GL,02/28/2025,               ,90000,     ,N298025,141519156,Global Ledger Transaction Interface created
AHF,202502_0090,2,90,0,90,100008,JE,45933,-493,RF Deposit 02/28 cc           ,USD,0,54.05,GL,02/28/2025,               ,90000,     ,N3470146,141546739,Global Ledger Transaction Interface created
AHF,202502_0090,3,90,0,90,100008,JE,45933,-492,RF Deposit 02/28 cc           ,USD,0,1000,GL,02/28/2025,               ,90000,     ,N3470145,141546738,Global Ledger Transaction Interface created
AHF,202502_0090,4,90,0,90,100008,JE,45933,-491,RF Deposit 02/28 cc           ,USD,0,1265,GL,02/28/2025,               ,90000,     ,N3470144,141546737,Global Ledger Transaction Interface created
AHF,202502_0090,5,90,0,90,100008,JE,45933,-490,RF Deposit 02/28 cc           ,USD,0,1000,GL,02/28/2025,               ,90000,     ,N3470143,141546736,Global Ledger Transaction Interface created
AHF,202502_0090,6,90,0,90,100008,JE,45750,-66,CC Payment -TAF               ,USD,0,-1177.69,GL,02/28/2025,               ,90000,     ,I40026,141456013,Global Ledger Transaction Interface created
AHF,202502_0090,7,90,0,90,100008,VP,02/18/2025,AP190-307-1,Summarized transaction        ,USD,0,439.9,AP,02/18/2025,               ,90000,     ,N30701,141116650,Global Ledger Transaction Interface created
AHF,202502_0090,8,90,0,90,100008,AP,02/13/2025,       215-185-1,Cash Disbursement             ,USD,0,-157.5,AP,02/13/2025,               ,90000,     ,N18501,141034659,Global Ledger Transaction Interface created
AHF,202502_0090,9,90,0,90,100008,JE,03/13/2025,-163,Angel Auction Bank Fees       ,USD,0,-297.93,GL,02/28/2025,               ,91000,     ,I16003,141596289,Global Ledger Transaction Interface created
AHF,202502_0090,10,90,0,90,105110,ZB,45719,GL190-14-65,Auto Offset From Zone 10      ,USD,0,-65.5,GL,02/28/2025,               ,91000,     ,I14065,141328901,Global Ledger Transaction Interface created
