FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID,Column1
AHF,202512_0065,1,65,0,65,100000,AP,12/9/2025,     11299-31-3,Cash Disbursement             ,USD,0,-150,AP,12/9/2025,               ,65000,     ,N3103,146939681,Global Ledger Transaction Interface created
AHF,202512_0065,2,65,0,65,100000,AP,12/9/2025,     11300-31-4,Cash Disbursement             ,USD,0,-1575,AP,12/9/2025,               ,65000,     ,N3104,146939682,Global Ledger Transaction Interface created
AHF,202512_0065,3,65,0,65,100000,AP,12/11/2025,     11301-41-3,Cash Disbursement             ,USD,0,-71.36,AP,12/11/2025,               ,65000,     ,N4103,146968056,Global Ledger Transaction Interface created
AHF,202512_0065,4,65,0,65,100000,AP,12/11/2025,     11302-41-4,Cash Disbursement             ,USD,0,-1312,AP,12/11/2025,               ,65000,     ,N4104,146968057,Global Ledger Transaction Interface created
AHF,202512_0065,5,65,0,65,100000,AP,12/12/2025,      5161-51-4,Cash Disbursement             ,USD,0,-31.54,AP,12/12/2025,               ,65000,     ,N5104,147111458,Global Ledger Transaction Interface created
AHF,202512_0065,6,65,0,65,100000,AP,12/12/2025,      5162-51-5,Cash Disbursement             ,USD,0,-325,AP,12/12/2025,               ,65000,     ,N5105,147111459,Global Ledger Transaction Interface created
AHF,202512_0065,7,65,0,65,100000,AP,12/12/2025,AP170-51-6,Summarized transaction        ,USD,0,-2359.14,AP,12/12/2025,               ,65000,     ,N5106,147111460,Global Ledger Transaction Interface created
AHF,202512_0065,8,65,0,65,100000,AP,12/16/2025,     11303-57-2,Cash Disbursement             ,USD,0,-745.88,AP,12/16/2025,               ,65000,     ,N5702,147125299,Global Ledger Transaction Interface created
AHF,202512_0065,9,65,0,65,100000,AP,12/18/2025,     11304-69-3,Cash Disbursement             ,USD,0,-500,AP,12/18/2025,               ,65000,     ,N6903,147156351,Global Ledger Transaction Interface created
AHF,202512_0065,10,65,0,65,100000,AP,12/18/2025,     11305-69-4,Cash Disbursement             ,USD,0,-1706.59,AP,12/18/2025,               ,65000,     ,N6904,147156352,Global Ledger Transaction Interface created
AHF,202512_0065,11,65,0,65,100000,JE,12/18/2025,-26,AultComp Admin Fee (BZ - 55)  ,USD,0,-15872.42,GL,12/31/2025,               ,65000,     ,N2402,147165579,Global Ledger Transaction Interface created
AHF,202512_0065,12,65,0,65,100000,JE,12/18/2025,-214,AultComp MCO Revenue          ,USD,0,230737.81,RJ,12/31/2025,               ,65000,     ,N21301,147165809,Global Ledger Transaction Interface created
AHF,202512_0065,13,65,0,65,100000,JE,12/18/2025,-289,AultComp Admin Fee            ,USD,0,-178044.7,RJ,12/31/2025,               ,65000,     ,N28702,147165803,Global Ledger Transaction Interface created
AHF,202512_0065,14,65,0,65,100000,JE,12/23/2025,-51,AultComp to AHF Dividend Pmt  ,USD,0,-1000000,GL,12/31/2025,               ,65000,     ,N4902,147195002,Global Ledger Transaction Interface created
AHF,202512_0065,15,65,0,65,100000,AP,12/30/2025,     11306-110-3,Cash Disbursement             ,USD,0,-26,AP,12/30/2025,               ,65000,     ,N11003,147220779,Global Ledger Transaction Interface created
AHF,202512_0065,16,65,0,65,100000,AP,12/30/2025,     11307-110-4,Cash Disbursement             ,USD,0,-1446.49,AP,12/30/2025,               ,65000,     ,N11004,147220780,Global Ledger Transaction Interface created
AHF,202512_0065,17,65,0,65,103190,JE,1/8/2026,-92,AultComp-MCO 2nd Half 25 Incen,USD,0,186246.04,GL,12/31/2025,               ,65000,     ,N9101,147501800,Global Ledger Transaction Interface created
AHF,202512_0065,18,65,0,65,105150,ZB,11/30/2025,GL190-1-14,Auto Offset From Zone 50      ,USD,0,150,PO,12/1/2025,               ,65000,     ,A1014,147101201,Global Ledger Transaction Interface created
AHF,202512_0065,19,65,0,65,105150,ZB,12/1/2025,GL190-100001-5,Auto Offset From Zone 50      ,USD,0,-408.45,AP,12/1/2025,               ,65000,     ,I10000105,147099541,Global Ledger Transaction Interface created
AHF,202512_0065,20,65,0,65,105150,ZB,12/3/2025,GL190-100001-115,Auto Offset From Zone 50      ,USD,0,-11927.13,GL,12/31/2025,               ,65000,     ,I1000010115,147100469,Global Ledger Transaction Interface created
AHF,202512_0065,21,65,0,65,105150,ZB,12/5/2025,GL190-100001-123,Auto Offset From Zone 50      ,USD,0,-37859.21,PR,12/5/2025,               ,65000,     ,I1000010123,147101389,Global Ledger Transaction Interface created
AHF,202512_0065,22,65,0,65,105150,ZB,11/30/2025,GL190-100008-577,Auto Offset From Zone 50      ,USD,0,-559.97,PR,12/1/2025,               ,65000,     ,R1000080577,147101573,Global Ledger Transaction Interface created
AHF,202512_0065,23,65,0,65,105150,ZB,11/30/2025,GL190-100009-326,Auto Offset From Zone 50      ,USD,0,-206.45,PR,12/1/2025,               ,65000,     ,R1000090326,147101753,Global Ledger Transaction Interface created
AHF,202512_0065,24,65,0,65,105150,ZB,12/5/2025,GL190-100011-21,Auto Offset From Zone 50      ,USD,0,-10,AP,12/5/2025,               ,65000,     ,I100011021,147099733,Global Ledger Transaction Interface created
AHF,202512_0065,25,65,0,65,105150,ZB,12/3/2025,GL190-100057-326,Auto Offset From Zone 50      ,USD,0,206.45,GL,12/1/2025,               ,65000,     ,R1000570326,147100833,Global Ledger Transaction Interface created
AHF,202512_0065,26,65,0,65,105150,ZB,12/3/2025,GL190-100058-326,Auto Offset From Zone 50      ,USD,0,206.45,GL,12/1/2025,               ,65000,     ,R1000580326,147101017,Global Ledger Transaction Interface created
AHF,202512_0065,27,65,0,65,105150,ZB,11/30/2025,GL190-100035-17,Auto Offset From Zone 50      ,USD,0,-85.8,AP,12/15/2025,               ,65000,     ,I100035017,147129656,Global Ledger Transaction Interface created
AHF,202512_0065,28,65,0,65,105150,ZB,12/13/2025,GL190-100003-425,Auto Offset From Zone 50      ,USD,0,-1284.68,PR,12/13/2025,               ,65000,     ,I1000030425,147155015,Global Ledger Transaction Interface created
AHF,202512_0065,29,65,0,65,105150,ZB,12/19/2025,GL190-100004-123,Auto Offset From Zone 50      ,USD,0,-37759.4,PR,12/19/2025,               ,65000,     ,I1000040123,147155057,Global Ledger Transaction Interface created
AHF,202512_0065,30,65,0,65,105150,ZB,12/19/2025,GL190-100042-21,Auto Offset From Zone 50      ,USD,0,-10,AP,12/19/2025,               ,65000,     ,I100042021,147154973,Global Ledger Transaction Interface created
AHF,202512_0065,31,65,0,65,105150,ZB,12/17/2025,GL190-100004-120,Auto Offset From Zone 50      ,USD,0,-11804.46,GL,12/31/2025,               ,65000,     ,I1000040120,147160804,Global Ledger Transaction Interface created
AHF,202512_0065,32,65,0,65,105150,ZB,12/18/2025,GL190-287-6,Auto Offset From Zone 50      ,USD,0,178044.7,RJ,12/31/2025,               ,65000,     ,N28706,147165861,Global Ledger Transaction Interface created
AHF,202512_0065,33,65,0,65,105150,ZB,11/18/2025,GL190-2-71,Auto Offset From Zone 50      ,USD,0,-153.32,AP,12/24/2025,               ,65000,     ,I2071,147205712,Global Ledger Transaction Interface created
AHF,202512_0065,34,65,0,65,105150,ZB,12/24/2025,GL190-100014-57,Auto Offset From Zone 50      ,USD,0,-16.43,GL,12/31/2025,               ,65000,     ,I100014057,147205728,Global Ledger Transaction Interface created
AHF,202512_0065,35,65,0,65,105150,ZB,12/31/2025,GL190-100008-707,Auto Offset From Zone 50      ,USD,0,2289.13,PR,12/31/2025,               ,65000,     ,I1000080707,147265304,Global Ledger Transaction Interface created
AHF,202512_0065,36,65,0,65,105150,ZB,12/31/2025,GL190-100011-411,Auto Offset From Zone 50      ,USD,0,67.75,PR,12/31/2025,               ,65000,     ,I1000110411,147265336,Global Ledger Transaction Interface created
AHF,202512_0065,37,65,0,65,105150,ZB,12/8/2025,GL190-100012-496,Auto Offset From Zone 50      ,USD,0,-1214.12,PR,12/27/2025,               ,65000,     ,I1000120496,147265376,Global Ledger Transaction Interface created
AHF,202512_0065,38,65,0,65,105150,ZB,12/31/2025,GL190-100021-411,Auto Offset From Zone 50      ,USD,0,-67.75,GL,12/31/2025,               ,65000,     ,I1000210411,147273667,Global Ledger Transaction Interface created
AHF,202512_0065,39,65,0,65,105150,ZB,12/31/2025,GL190-100022-411,Auto Offset From Zone 50      ,USD,0,-67.75,GL,12/31/2025,               ,65000,     ,I1000220411,147273683,Global Ledger Transaction Interface created
AHF,202512_0065,40,65,0,65,105150,ZB,1/2/2026,GL190-100039-7,Auto Offset From Zone 50      ,USD,0,54,GL,12/31/2025,               ,65000,     ,I10003907,147411145,Global Ledger Transaction Interface created
AHF,202512_0065,41,65,0,65,105150,ZB,1/7/2026,GL190-269-13,Auto Offset From Zone 50      ,USD,0,2800.99,RJ,12/31/2025,               ,65000,     ,N269013,147485953,Global Ledger Transaction Interface created
AHF,202512_0065,42,65,0,65,105150,ZB,1/8/2026,GL190-100117-46,Auto Offset From Zone 50      ,USD,0,-219.62,GL,12/31/2025,               ,65000,     ,I100117046,147508459,Global Ledger Transaction Interface created
AHF,202512_0065,43,65,0,65,105150,ZB,1/10/2026,GL190-100131-10,Auto Offset From Zone 50      ,USD,0,9322.29,GL,12/31/2025,               ,65000,     ,I100131010,147532500,Global Ledger Transaction Interface created
AHF,202512_0065,44,65,0,65,105150,ZB,1/23/2026,GL190-10-61,Auto Offset From Zone 50      ,USD,0,-26800.43,CA,12/31/2025,               ,65000,     ,N10061,147843628,Global Ledger Transaction Interface created
AHF,202512_0065,45,65,0,65,105150,ZB,1/23/2026,GL190-11-6084,Auto Offset From Zone 50      ,USD,0,-57124.43,CA,12/31/2025,               ,65000,     ,N1106084,147849906,Global Ledger Transaction Interface created
AHF,202512_0065,46,65,0,65,105150,ZB,1/12/2026,GL190-108-7,Auto Offset From Zone 50      ,USD,0,-84.56,GL,12/31/2025,               ,65000,     ,N10807,147899270,Global Ledger Transaction Interface created
AHF,202512_0065,47,65,0,65,105155,ZB,12/1/2025,GL190-1-15,Auto Offset From Zone 55      ,USD,0,-4375,AP,12/1/2025,               ,65000,     ,N1015,147095311,Global Ledger Transaction Interface created
