FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID,Column1
AHF,202505_0065,1,65,0,65,100000,JE,5/15/2025,-214,AultComp MCO Revenue          ,USD,0,237160.62,RJ,5/31/2025,               ,65000,     ,N21301,142967536,Global Ledger Transaction Interface created
AHF,202505_0065,2,65,0,65,100000,AP,5/8/2025,     11229-21-2,Cash Disbursement             ,USD,0,-2115.44,AP,5/8/2025,               ,65000,     ,N2102,142804213,Global Ledger Transaction Interface created
AHF,202505_0065,3,65,0,65,100000,AP,5/13/2025,     11230-38-5,Cash Disbursement             ,USD,0,-33.25,AP,5/13/2025,               ,65000,     ,N3805,142849790,Global Ledger Transaction Interface created
AHF,202505_0065,4,65,0,65,100000,AP,5/13/2025,     11231-38-6,Cash Disbursement             ,USD,0,-150,AP,5/13/2025,               ,65000,     ,N3806,142849791,Global Ledger Transaction Interface created
AHF,202505_0065,5,65,0,65,100000,AP,5/13/2025,     11232-38-7,Cash Disbursement             ,USD,0,-150,AP,5/13/2025,               ,65000,     ,N3807,142849792,Global Ledger Transaction Interface created
AHF,202505_0065,6,65,0,65,100000,AP,5/13/2025,     11233-38-8,Cash Disbursement             ,USD,0,-180,AP,5/13/2025,               ,65000,     ,N3808,142849793,Global Ledger Transaction Interface created
AHF,202505_0065,7,65,0,65,100000,AP,5/15/2025,     11234-47-2,Cash Disbursement             ,USD,0,-1089.58,AP,5/15/2025,               ,65000,     ,N4702,142862544,Global Ledger Transaction Interface created
AHF,202505_0065,8,65,0,65,100000,JE,5/15/2025,-14,AultComp Admin Fee BZ - 55    ,USD,0,-8586.31,GL,5/31/2025,               ,65000,     ,N1202,142967493,Global Ledger Transaction Interface created
AHF,202505_0065,9,65,0,65,100000,JE,5/15/2025,-289,AultComp Admin Fee            ,USD,0,-164872.77,RJ,5/31/2025,               ,65000,     ,N28702,142967535,Global Ledger Transaction Interface created
AHF,202505_0065,10,65,0,65,100000,AP,5/20/2025,     11235-62-3,Cash Disbursement             ,USD,0,-800,AP,5/20/2025,               ,65000,     ,N6203,142990412,Global Ledger Transaction Interface created
