FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202510_0067,1,67,0,67,100008,JE,11/07/2025,-91-1,Reclass Bal Sht post errors   ,USD,0.00,-24505.50,GL,10/31/2025,               ,67102          ,     ,N9101,146340935
AHF,202510_0067,2,67,0,67,100008,JE,11/03/2025,-100039-11,Payment Cerner Activity Reclas,USD,0.00,24505.50,GL,10/31/2025,               ,67102          ,     ,I100039011,146254388
AHF,202510_0067,3,67,0,67,100008,JE,11/03/2025,-100039-34,Payment Cerner Activity Reclas,USD,0.00,59.84,GL,10/31/2025,               ,67230          ,     ,I100039034,146254411
AHF,202510_0067,4,67,0,67,100008,JE,11/07/2025,-91-2,Reclass Bal Sht post errors   ,USD,0.00,-59.84,GL,10/31/2025,               ,67230          ,     ,N9102,146340936
AHF,202510_0067,5,67,0,67,100008,JE,11/07/2025,-91-3,Reclass Bal Sht post errors   ,USD,0.00,-12929.79,GL,10/31/2025,               ,67235          ,     ,N9103,146340937
AHF,202510_0067,6,67,0,67,100008,JE,11/03/2025,-100039-41,Payment Cerner Activity Reclas,USD,0.00,12929.79,GL,10/31/2025,               ,67235          ,     ,I100039041,146254418
AHF,202510_0067,7,67,0,67,100008,NL,10/07/2025,AMBULATORY-11-39,Cash                          ,USD,0.00,260.33,GL,10/06/2025,               ,67241          ,     ,N11039,145689430
AHF,202510_0067,8,67,0,67,100008,NL,10/07/2025,AMBULATORY-11-40,Cash                          ,USD,0.00,-260.33,GL,10/06/2025,               ,67241          ,     ,N11040,145689431
AHF,202510_0067,9,67,0,67,100008,NL,10/03/2025,AMBULATORY-3-29,Cash                          ,USD,0.00,1239.88,GL,10/02/2025,               ,67241          ,     ,N3029,145639612
AHF,202510_0067,10,67,0,67,100008,NL,10/02/2025,AMBULATORY-1-26,Cash                          ,USD,0.00,542.62,GL,10/01/2025,               ,67241          ,     ,N1026,145621870
AHF,202510_0067,11,67,0,67,100008,NL,10/17/2025,AMBULATORY-32-26,Cash                          ,USD,0.00,535.05,GL,10/16/2025,               ,67241          ,     ,N32026,145988992
AHF,202510_0067,12,67,0,67,100008,NL,10/23/2025,AMBULATORY-44-21,Cash                          ,USD,0.00,496.49,GL,10/22/2025,               ,67241          ,     ,N44021,146069139
AHF,202510_0067,13,67,0,67,100008,NL,10/23/2025,AMBULATORY-44-22,Cash                          ,USD,0.00,-231.94,GL,10/22/2025,               ,67241          ,     ,N44022,146069140
AHF,202510_0067,14,67,0,67,100008,NL,10/24/2025,AMBULATORY-46-30,Cash                          ,USD,0.00,673.45,GL,10/23/2025,               ,67241          ,     ,N46030,146075087
AHF,202510_0067,15,67,0,67,100008,NL,10/10/2025,AMBULATORY-17-31,Cash                          ,USD,0.00,2673.67,GL,10/09/2025,               ,67241          ,     ,N17031,145763205
AHF,202510_0067,16,67,0,67,100008,NL,10/16/2025,AMBULATORY-30-34,Cash                          ,USD,0.00,368.49,GL,10/15/2025,               ,67241          ,     ,N30034,145982968
AHF,202510_0067,17,67,0,67,100008,NL,10/15/2025,AMBULATORY-28-23,Cash                          ,USD,0.00,752.25,GL,10/14/2025,               ,67241          ,     ,N28023,145974311
AHF,202510_0067,18,67,0,67,100008,NL,10/14/2025,AMBULATORY-26-28,Cash                          ,USD,0.00,158.97,GL,10/13/2025,               ,67241          ,     ,N26028,145968939
AHF,202510_0067,19,67,0,67,100008,NL,10/29/2025,AMBULATORY-56-40,Cash                          ,USD,0.00,483.48,GL,10/28/2025,               ,67241          ,     ,N56040,146101782
AHF,202510_0067,20,67,0,67,100008,JE,11/07/2025,-91-4,Reclass Bal Sht post errors   ,USD,0.00,-7692.41,GL,10/31/2025,               ,67241          ,     ,N9104,146340938
