FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202506_0067,1,67,0,67,100008,JE,07/08/2025,-78-1,R/C Bal Sht post errors       ,USD,0.00,-14568.62,GL,06/30/2025,               ,67102          ,     ,N7801,143839127
AHF,202506_0067,2,67,0,67,100008,JE,07/02/2025,-74-12,Payment Cerner Activity Reclas,USD,0.00,14568.62,GL,06/30/2025,               ,67102          ,     ,N74012,143784045
AHF,202506_0067,3,67,0,67,100008,JE,07/02/2025,-74-40,Payment Cerner Activity Reclas,USD,0.00,19439.85,GL,06/30/2025,               ,67235          ,     ,N74040,143784073
AHF,202506_0067,4,67,0,67,100008,JE,07/08/2025,-78-3,R/C Bal Sht post errors       ,USD,0.00,-19439.85,GL,06/30/2025,               ,67235          ,     ,N7803,143839129
AHF,202506_0067,5,67,0,67,100008,JE,07/02/2025,-74-34,Payment Cerner Activity Reclas,USD,0.00,-50.69,GL,06/30/2025,               ,67230          ,     ,N74034,143784067
AHF,202506_0067,6,67,0,67,100008,JE,07/08/2025,-78-2,R/C Bal Sht post errors       ,USD,0.00,50.69,GL,06/30/2025,               ,67230          ,     ,N7802,143839128
AHF,202506_0067,7,67,0,67,100008,NL,06/03/2025,AMBULATORY-3-29,Cash                          ,USD,0.00,265.30,GL,06/02/2025,               ,67241          ,     ,N3029,143215755
AHF,202506_0067,8,67,0,67,100008,NL,06/12/2025,AMBULATORY-23-28,Cash                          ,USD,0.00,169.11,GL,06/11/2025,               ,67241          ,     ,N23028,143428829
AHF,202506_0067,9,67,0,67,100008,NL,06/16/2025,AMBULATORY-31-17,Cash                          ,USD,0.00,194.86,GL,06/15/2025,               ,67241          ,     ,N31017,143491133
AHF,202506_0067,10,67,0,67,100008,NL,06/11/2025,AMBULATORY-21-32,Cash                          ,USD,0.00,337.49,GL,06/10/2025,               ,67241          ,     ,N21032,143413861
AHF,202506_0067,11,67,0,67,100008,NL,06/13/2025,AMBULATORY-26-29,Cash                          ,USD,0.00,546.57,GL,06/12/2025,               ,67241          ,     ,N26029,143434531
AHF,202506_0067,12,67,0,67,100008,NL,06/04/2025,AMBULATORY-5-24,Cash                          ,USD,0.00,534.69,GL,06/03/2025,               ,67241          ,     ,N5024,143259242
AHF,202506_0067,13,67,0,67,100008,JE,07/08/2025,-78-4,R/C Bal Sht post errors       ,USD,0.00,-5722.18,GL,06/30/2025,               ,67241          ,     ,N7804,143839130
AHF,202506_0067,14,67,0,67,100008,NL,07/01/2025,AMBULATORY-72-28,Cash                          ,USD,0.00,982.22,GL,06/30/2025,               ,67241          ,     ,N72028,143598232
AHF,202506_0067,15,67,0,67,100008,NL,06/20/2025,AMBULATORY-44-26,Cash                          ,USD,0.00,671.29,GL,06/19/2025,               ,67241          ,     ,N44026,143540494
AHF,202506_0067,16,67,0,67,100008,NL,06/27/2025,AMBULATORY-63-24,Cash                          ,USD,0.00,831.99,GL,06/26/2025,               ,67241          ,     ,N63024,143580635
AHF,202506_0067,17,67,0,67,100008,NL,06/18/2025,AMBULATORY-39-27,Cash                          ,USD,0.00,1096.94,GL,06/17/2025,               ,67241          ,     ,N39027,143527752
AHF,202506_0067,18,67,0,67,100008,NL,06/19/2025,AMBULATORY-41-21,Cash                          ,USD,0.00,321.04,GL,06/18/2025,               ,67241          ,     ,N41021,143534579
AHF,202506_0067,19,67,0,67,100008,NL,06/19/2025,AMBULATORY-41-22,Cash                          ,USD,0.00,-229.32,GL,06/18/2025,               ,67241          ,     ,N41022,143534580
AHF,202506_0067,20,67,0,67,100008,JE,07/02/2025,-74-59,Payment Cerner Activity Reclas,USD,0.00,100859.51,GL,06/30/2025,               ,67242          ,     ,N74059,143784092
AHF,202506_0067,21,67,0,67,100008,JE,07/08/2025,-78-5,R/C Bal Sht post errors       ,USD,0.00,-100859.51,GL,06/30/2025,               ,67242          ,     ,N7805,143839131
AHF,202506_0067,22,67,0,67,100008,JE,07/08/2025,-78-6,R/C Bal Sht post errors       ,USD,0.00,-440012.13,GL,06/30/2025,               ,68020          ,     ,N7806,143839132
AHF,202506_0067,23,67,0,67,100008,JE,07/02/2025,-74-95,Payment Cerner Activity Reclas,USD,0.00,440012.13,GL,06/30/2025,               ,68020          ,     ,N74095,143784128
AHF,202506_0067,24,67,0,67,100008,JE,07/02/2025,-74-113,Payment Cerner Activity Reclas,USD,0.00,71907.68,GL,06/30/2025,               ,68021          ,     ,N740113,143784146
AHF,202506_0067,25,67,0,67,100008,JE,07/08/2025,-78-7,R/C Bal Sht post errors       ,USD,0.00,-71907.68,GL,06/30/2025,               ,68021          ,     ,N7807,143839133
AHF,202506_0067,26,67,0,67,100008,JE,07/08/2025,-78-8,R/C Bal Sht post errors       ,USD,0.00,-68326.56,GL,06/30/2025,               ,68023          ,     ,N7808,143839134
AHF,202506_0067,27,67,0,67,100008,JE,07/02/2025,-74-128,Payment Cerner Activity Reclas,USD,0.00,68326.56,GL,06/30/2025,               ,68023          ,     ,N740128,143784161
AHF,202506_0067,28,67,0,67,100008,JE,07/02/2025,-74-138,Payment Cerner Activity Reclas,USD,0.00,148934.40,GL,06/30/2025,               ,68040          ,     ,N740138,143784171
AHF,202506_0067,29,67,0,67,100008,JE,07/08/2025,-78-9,R/C Bal Sht post errors       ,USD,0.00,-148934.40,GL,06/30/2025,               ,68040          ,     ,N7809,143839135
AHF,202506_0067,30,67,0,67,100008,JE,07/08/2025,-78-10,R/C Bal Sht post errors       ,USD,0.00,-180450.48,GL,06/30/2025,               ,68041          ,     ,N78010,143839136
AHF,202506_0067,31,67,0,67,100008,JE,07/02/2025,-74-155,Payment Cerner Activity Reclas,USD,0.00,180450.48,GL,06/30/2025,               ,68041          ,     ,N740155,143784188
AHF,202506_0067,32,67,0,67,100008,JE,07/02/2025,-74-166,Payment Cerner Activity Reclas,USD,0.00,233392.78,GL,06/30/2025,               ,68042          ,     ,N740166,143784199
AHF,202506_0067,33,67,0,67,100008,JE,07/08/2025,-78-11,R/C Bal Sht post errors       ,USD,0.00,-233392.78,GL,06/30/2025,               ,68042          ,     ,N78011,143839137
AHF,202506_0067,34,67,0,67,100008,NL,06/03/2025,AMBULATORY-3-186,Cash                          ,USD,0.00,-237.24,GL,06/02/2025,               ,68043          ,     ,N30186,143215610
AHF,202506_0067,35,67,0,67,100008,NL,06/03/2025,AMBULATORY-3-185,Cash                          ,USD,0.00,1507.27,GL,06/02/2025,               ,68043          ,     ,N30185,143215609
AHF,202506_0067,36,67,0,67,100008,NL,06/04/2025,AMBULATORY-5-185,Cash                          ,USD,0.00,-198.81,GL,06/03/2025,               ,68043          ,     ,N50185,143259158
AHF,202506_0067,37,67,0,67,100008,NL,06/04/2025,AMBULATORY-5-184,Cash                          ,USD,0.00,4981.44,GL,06/03/2025,               ,68043          ,     ,N50184,143259157
AHF,202506_0067,38,67,0,67,100008,NL,06/05/2025,AMBULATORY-7-178,Cash                          ,USD,0.00,-364.25,GL,06/04/2025,               ,68043          ,     ,N70178,143284476
AHF,202506_0067,39,67,0,67,100008,NL,06/05/2025,AMBULATORY-7-177,Cash                          ,USD,0.00,4636.59,GL,06/04/2025,               ,68043          ,     ,N70177,143284475
AHF,202506_0067,40,67,0,67,100008,NL,06/06/2025,AMBULATORY-9-186,Cash                          ,USD,0.00,-64.82,GL,06/05/2025,               ,68043          ,     ,N90186,143302032
AHF,202506_0067,41,67,0,67,100008,NL,06/06/2025,AMBULATORY-9-185,Cash                          ,USD,0.00,1983.96,GL,06/05/2025,               ,68043          ,     ,N90185,143302031
AHF,202506_0067,42,67,0,67,100008,NL,06/07/2025,AMBULATORY-11-147,Cash                          ,USD,0.00,51.39,GL,06/06/2025,               ,68043          ,     ,N110147,143323309
AHF,202506_0067,43,67,0,67,100008,NL,06/29/2025,AMBULATORY-66-108,Cash                          ,USD,0.00,108.28,GL,06/28/2025,               ,68043          ,     ,N660108,143588675
AHF,202506_0067,44,67,0,67,100008,NL,06/25/2025,AMBULATORY-57-177,Cash                          ,USD,0.00,-467.66,GL,06/24/2025,               ,68043          ,     ,N570177,143566941
AHF,202506_0067,45,67,0,67,100008,NL,06/28/2025,AMBULATORY-65-172,Cash                          ,USD,0.00,306.50,GL,06/27/2025,               ,68043          ,     ,N650172,143588124
AHF,202506_0067,46,67,0,67,100008,NL,06/28/2025,AMBULATORY-65-173,Cash                          ,USD,0.00,-201.21,GL,06/27/2025,               ,68043          ,     ,N650173,143588125
AHF,202506_0067,47,67,0,67,100008,NL,07/01/2025,AMBULATORY-72-174,Cash                          ,USD,0.00,5178.68,GL,06/30/2025,               ,68043          ,     ,N720174,143598076
AHF,202506_0067,48,67,0,67,100008,NL,07/01/2025,AMBULATORY-72-175,Cash                          ,USD,0.00,-450.35,GL,06/30/2025,               ,68043          ,     ,N720175,143598077
AHF,202506_0067,49,67,0,67,100008,NL,06/26/2025,AMBULATORY-60-190,Cash                          ,USD,0.00,1631.95,GL,06/25/2025,               ,68043          ,     ,N600190,143574137
AHF,202506_0067,50,67,0,67,100008,NL,06/26/2025,AMBULATORY-60-191,Cash                          ,USD,0.00,-249.44,GL,06/25/2025,               ,68043          ,     ,N600191,143574138
AHF,202506_0067,51,67,0,67,100008,NL,06/30/2025,AMBULATORY-70-84,Cash                          ,USD,0.00,283.36,GL,06/29/2025,               ,68043          ,     ,N70084,143593176
AHF,202506_0067,52,67,0,67,100008,NL,06/25/2025,AMBULATORY-57-176,Cash                          ,USD,0.00,1279.79,GL,06/24/2025,               ,68043          ,     ,N570176,143566940
AHF,202506_0067,53,67,0,67,100008,NL,06/23/2025,AMBULATORY-48-54,Cash                          ,USD,0.00,334.00,GL,06/22/2025,               ,68043          ,     ,N48054,143552798
AHF,202506_0067,54,67,0,67,100008,NL,06/19/2025,AMBULATORY-41-172,Cash                          ,USD,0.00,-6566.82,GL,06/18/2025,               ,68043          ,     ,N410172,143534529
