FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202501_0055,1,55,0,55,100000,AP,01/10/2025,    350187-44-41,Cash Disbursement             ,USD,0.00,-12320.00,AP,01/10/2025,               ,55000          ,     ,N44041,139705968
AHF,202501_0055,2,55,0,55,100000,AP,01/10/2025,    350188-44-42,Cash Disbursement             ,USD,0.00,-2900.00,AP,01/10/2025,               ,55000          ,     ,N44042,139705969
AHF,202501_0055,3,55,0,55,100000,AP,01/10/2025,    350189-44-43,Cash Disbursement             ,USD,0.00,-2040.00,AP,01/10/2025,               ,55000          ,     ,N44043,139705970
AHF,202501_0055,4,55,0,55,100000,AP,01/10/2025,    350190-44-44,Cash Disbursement             ,USD,0.00,-450.00,AP,01/10/2025,               ,55000          ,     ,N44044,139705971
AHF,202501_0055,5,55,0,55,100000,AP,01/10/2025,    350191-44-45,Cash Disbursement             ,USD,0.00,-1050.00,AP,01/10/2025,               ,55000          ,     ,N44045,139705972
AHF,202501_0055,6,55,0,55,100000,AP,01/10/2025,    350192-44-46,Cash Disbursement             ,USD,0.00,-30715.00,AP,01/10/2025,               ,55000          ,     ,N44046,139705973
AHF,202501_0055,7,55,0,55,100000,AP,01/10/2025,    350193-44-47,Cash Disbursement             ,USD,0.00,-10402.00,AP,01/10/2025,               ,55000          ,     ,N44047,139705974
AHF,202501_0055,8,55,0,55,100000,AP,01/10/2025,    350194-44-48,Cash Disbursement             ,USD,0.00,-329442.00,AP,01/10/2025,               ,55000          ,     ,N44048,139705975
AHF,202501_0055,9,55,0,55,100000,AP,01/10/2025,    350195-44-49,Cash Disbursement             ,USD,0.00,-8846.00,AP,01/10/2025,               ,55000          ,     ,N44049,139705976
AHF,202501_0055,10,55,0,55,100000,AP,01/10/2025,    350196-44-50,Cash Disbursement             ,USD,0.00,-7840.00,AP,01/10/2025,               ,55000          ,     ,N44050,139705977
AHF,202501_0055,11,55,0,55,100000,AP,01/10/2025,    350197-44-51,Cash Disbursement             ,USD,0.00,-2363.00,AP,01/10/2025,               ,55000          ,     ,N44051,139705978
AHF,202501_0055,12,55,0,55,100000,AP,01/10/2025,    350198-44-52,Cash Disbursement             ,USD,0.00,-24740.00,AP,01/10/2025,               ,55000          ,     ,N44052,139705979
AHF,202501_0055,13,55,0,55,100000,AP,01/14/2025,     71366-53-11,Cash Disbursement             ,USD,0.00,-1586.18,AP,01/14/2025,               ,55000          ,     ,N53011,139723248
AHF,202501_0055,14,55,0,55,100000,AP,01/16/2025,     71415-66-29,Cash Disbursement             ,USD,0.00,-9181.50,AP,01/16/2025,               ,55000          ,     ,N66029,139762353
AHF,202501_0055,15,55,0,55,100000,AP,01/16/2025,     71416-66-30,Cash Disbursement             ,USD,0.00,-450.63,AP,01/16/2025,               ,55000          ,     ,N66030,139762354
AHF,202501_0055,16,55,0,55,100000,AP,01/16/2025,AP170-66-31,Summarized transaction        ,USD,0.00,-5241.00,AP,01/16/2025,               ,55000          ,     ,N66031,139762355
AHF,202501_0055,17,55,0,55,100000,AP,01/16/2025,     71418-66-32,Cash Disbursement             ,USD,0.00,-3186.00,AP,01/16/2025,               ,55000          ,     ,N66032,139762356
AHF,202501_0055,18,55,0,55,100000,AP,01/14/2025,     71367-53-12,Cash Disbursement             ,USD,0.00,-190.00,AP,01/14/2025,               ,55000          ,     ,N53012,139723249
AHF,202501_0055,19,55,0,55,100000,AP,01/14/2025,     71368-53-13,Cash Disbursement             ,USD,0.00,-367.50,AP,01/14/2025,               ,55000          ,     ,N53013,139723250
AHF,202501_0055,20,55,0,55,100000,AP,01/14/2025,     71369-53-14,Cash Disbursement             ,USD,0.00,-96090.26,AP,01/14/2025,               ,55000          ,     ,N53014,139723251
AHF,202501_0055,21,55,0,55,100000,AP,01/14/2025,     71370-53-15,Cash Disbursement             ,USD,0.00,-8020.00,AP,01/14/2025,               ,55000          ,     ,N53015,139723252
AHF,202501_0055,22,55,0,55,100000,AP,01/14/2025,     71371-53-16,Cash Disbursement             ,USD,0.00,-2700.00,AP,01/14/2025,               ,55000          ,     ,N53016,139723253
AHF,202501_0055,23,55,0,55,100000,AP,01/14/2025,     71372-53-17,Cash Disbursement             ,USD,0.00,-3675.00,AP,01/14/2025,               ,55000          ,     ,N53017,139723254
AHF,202501_0055,24,55,0,55,100000,AP,01/14/2025,     71373-53-18,Cash Disbursement             ,USD,0.00,-7138.00,AP,01/14/2025,               ,55000          ,     ,N53018,139723255
AHF,202501_0055,25,55,0,55,100000,AP,01/14/2025,     71374-53-19,Cash Disbursement             ,USD,0.00,-215.14,AP,01/14/2025,               ,55000          ,     ,N53019,139723256
AHF,202501_0055,26,55,0,55,100000,AP,01/14/2025,     71375-53-20,Cash Disbursement             ,USD,0.00,-14953.07,AP,01/14/2025,               ,55000          ,     ,N53020,139723257
AHF,202501_0055,27,55,0,55,100000,AP,01/14/2025,     71376-53-21,Cash Disbursement             ,USD,0.00,-13651.71,AP,01/14/2025,               ,55000          ,     ,N53021,139723258
AHF,202501_0055,28,55,0,55,100000,AP,01/14/2025,     71377-53-22,Cash Disbursement             ,USD,0.00,-347.50,AP,01/14/2025,               ,55000          ,     ,N53022,139723259
