FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202501_0080,1,80,0,80,100008,NL,02/01/2025,AMBULATORY-85-27,Cash                          ,USD,0.00,-20.00,GL,01/31/2025,               ,80012          ,     ,N85027,140646333
AHF,202501_0080,2,80,0,80,100008,NL,02/01/2025,AMBULATORY-85-26,Cash                          ,USD,0.00,308.20,GL,01/31/2025,               ,80012          ,     ,N85026,140646332
AHF,202501_0080,3,80,0,80,100008,NL,01/31/2025,AMBULATORY-80-25,Cash                          ,USD,0.00,-61.90,GL,01/30/2025,               ,80012          ,     ,N80025,140636495
AHF,202501_0080,4,80,0,80,100008,NL,01/31/2025,AMBULATORY-80-24,Cash                          ,USD,0.00,1558.98,GL,01/30/2025,               ,80012          ,     ,N80024,140636494
AHF,202501_0080,5,80,0,80,100008,NL,01/30/2025,AMBULATORY-78-16,Cash                          ,USD,0.00,4333.16,GL,01/29/2025,               ,80012          ,     ,N78016,140630682
AHF,202501_0080,6,80,0,80,100008,NL,01/29/2025,AMBULATORY-75-13,Cash                          ,USD,0.00,737.44,GL,01/28/2025,               ,80012          ,     ,N75013,140622350
AHF,202501_0080,7,80,0,80,100008,NL,01/28/2025,AMBULATORY-73-19,Cash                          ,USD,0.00,-92.51,GL,01/27/2025,               ,80012          ,     ,N73019,139840369
AHF,202501_0080,8,80,0,80,100008,NL,01/28/2025,AMBULATORY-73-18,Cash                          ,USD,0.00,5005.86,GL,01/27/2025,               ,80012          ,     ,N73018,139840368
AHF,202501_0080,9,80,0,80,100008,NL,01/26/2025,AMBULATORY-67-3,Cash                          ,USD,0.00,85.74,GL,01/25/2025,               ,80012          ,     ,N6703,139832578
AHF,202501_0080,10,80,0,80,100008,NL,01/25/2025,AMBULATORY-66-9,Cash                          ,USD,0.00,314.52,GL,01/24/2025,               ,80012          ,     ,N6609,139831786
AHF,202501_0080,11,80,0,80,100008,NL,01/24/2025,AMBULATORY-61-14,Cash                          ,USD,0.00,-101.19,GL,01/23/2025,               ,80012          ,     ,N61014,139815525
AHF,202501_0080,12,80,0,80,100008,NL,01/24/2025,AMBULATORY-61-13,Cash                          ,USD,0.00,4068.32,GL,01/23/2025,               ,80012          ,     ,N61013,139815524
AHF,202501_0080,13,80,0,80,100008,NL,01/23/2025,AMBULATORY-57-19,Cash                          ,USD,0.00,3537.04,GL,01/22/2025,               ,80012          ,     ,N57019,139810630
AHF,202501_0080,14,80,0,80,100008,NL,01/22/2025,AMBULATORY-55-26,Cash                          ,USD,0.00,-177.02,GL,01/21/2025,               ,80012          ,     ,N55026,139804943
AHF,202501_0080,15,80,0,80,100008,NL,01/22/2025,AMBULATORY-55-25,Cash                          ,USD,0.00,3444.86,GL,01/21/2025,               ,80012          ,     ,N55025,139804942
AHF,202501_0080,16,80,0,80,100008,NL,01/21/2025,AMBULATORY-53-15,Cash                          ,USD,0.00,-1882.98,GL,01/20/2025,               ,80012          ,     ,N53015,139800373
AHF,202501_0080,17,80,0,80,100008,NL,01/21/2025,AMBULATORY-53-14,Cash                          ,USD,0.00,5845.07,GL,01/20/2025,               ,80012          ,     ,N53014,139800372
AHF,202501_0080,18,80,0,80,100008,NL,01/20/2025,AMBULATORY-48-4,Cash                          ,USD,0.00,9.38,GL,01/19/2025,               ,80012          ,     ,N4804,139792898
AHF,202501_0080,19,80,0,80,100008,NL,01/18/2025,AMBULATORY-47-8,Cash                          ,USD,0.00,401.22,GL,01/17/2025,               ,80012          ,     ,N4708,139791827
AHF,202501_0080,20,80,0,80,100008,NL,01/17/2025,AMBULATORY-42-17,Cash                          ,USD,0.00,1610.48,GL,01/16/2025,               ,80012          ,     ,N42017,139782424
AHF,202501_0080,21,80,0,80,100008,NL,01/16/2025,AMBULATORY-38-17,Cash                          ,USD,0.00,2101.34,GL,01/15/2025,               ,80012          ,     ,N38017,139768380
AHF,202501_0080,22,80,0,80,100008,NL,01/15/2025,AMBULATORY-35-16,Cash                          ,USD,0.00,6515.23,GL,01/14/2025,               ,80012          ,     ,N35016,139758269
AHF,202501_0080,23,80,0,80,100008,NL,01/14/2025,AMBULATORY-32-18,Cash                          ,USD,0.00,-49.24,GL,01/13/2025,               ,80012          ,     ,N32018,139728842
AHF,202501_0080,24,80,0,80,100008,NL,01/14/2025,AMBULATORY-32-17,Cash                          ,USD,0.00,3478.36,GL,01/13/2025,               ,80012          ,     ,N32017,139728841
AHF,202501_0080,25,80,0,80,100008,NL,01/13/2025,AMBULATORY-27-4,Cash                          ,USD,0.00,18.77,GL,01/12/2025,               ,80012          ,     ,N2704,139718756
AHF,202501_0080,26,80,0,80,100008,NL,01/11/2025,AMBULATORY-25-12,Cash                          ,USD,0.00,963.13,GL,01/10/2025,               ,80012          ,     ,N25012,139717607
AHF,202501_0080,27,80,0,80,100008,NL,01/10/2025,AMBULATORY-22-14,Cash                          ,USD,0.00,2074.33,GL,01/09/2025,               ,80012          ,     ,N22014,139705125
AHF,202501_0080,28,80,0,80,100008,NL,01/09/2025,AMBULATORY-19-19,Cash                          ,USD,0.00,1143.07,GL,01/08/2025,               ,80012          ,     ,N19019,139692742
AHF,202501_0080,29,80,0,80,100008,NL,01/08/2025,AMBULATORY-15-13,Cash                          ,USD,0.00,-484.90,GL,01/07/2025,               ,80012          ,     ,N15013,139670505
AHF,202501_0080,30,80,0,80,100008,NL,01/08/2025,AMBULATORY-15-12,Cash                          ,USD,0.00,6681.49,GL,01/07/2025,               ,80012          ,     ,N15012,139670504
AHF,202501_0080,31,80,0,80,100008,NL,01/02/2025,AMBULATORY-1-1,Cash                          ,USD,0.00,20.74,GL,01/01/2025,               ,80012          ,     ,N101,139491204
AHF,202501_0080,32,80,0,80,100008,NL,01/03/2025,AMBULATORY-3-9,Cash                          ,USD,0.00,236.17,GL,01/02/2025,               ,80012          ,     ,N309,139618707
AHF,202501_0080,33,80,0,80,100008,NL,01/04/2025,AMBULATORY-5-1,Cash                          ,USD,0.00,230.00,GL,01/03/2025,               ,80012          ,     ,N501,139635819
AHF,202501_0080,34,80,0,80,100008,NL,01/05/2025,AMBULATORY-6-1,Cash                          ,USD,0.00,19.42,GL,01/04/2025,               ,80012          ,     ,N601,139636396
AHF,202501_0080,35,80,0,80,100008,NL,01/07/2025,AMBULATORY-11-10,Cash                          ,USD,0.00,6845.61,GL,01/06/2025,               ,80012          ,     ,N11010,139657377
AHF,202501_0080,36,80,0,80,100008,NL,01/07/2025,AMBULATORY-11-11,Cash                          ,USD,0.00,-33.23,GL,01/06/2025,               ,80012          ,     ,N11011,139657378
AHF,202501_0080,37,80,0,80,100008,JE,02/04/2025,-39-1,Pain Management Reclass       ,USD,0.00,-58684.96,GL,01/31/2025,               ,80012          ,     ,I3901,140847155
AHF,202501_0080,38,80,0,80,101000,NL,01/10/2025,AMBULATORY-22-15,Cash                          ,USD,0.00,-20.00,GL,01/09/2025,               ,80012          ,     ,N22015,139705126
AHF,202501_0080,39,80,0,80,101000,NL,01/18/2025,AMBULATORY-47-9,Cash                          ,USD,0.00,-463.35,GL,01/17/2025,               ,80012          ,     ,N4709,139791828
AHF,202501_0080,40,80,0,80,101000,JE,02/04/2025,-39-2,Pain Management Reclass       ,USD,0.00,483.35,GL,01/31/2025,               ,80012          ,     ,I3902,140847156
AHF,202501_0080,41,80,0,80,101000,AD,01/10/2025,   3073952-235-46,999376251REGULA DAVID O      ,USD,0.00,490.00,AP,01/14/2025,               ,80001          ,     ,N235046,139756013
AHF,202501_0080,42,80,0,80,101000,AD,01/10/2025,   3073950-235-45,999376249HEID KENNETH D      ,USD,0.00,56.22,AP,01/14/2025,               ,80001          ,     ,N235045,139756012
AHF,202501_0080,43,80,0,80,101000,JE,02/03/2025,-24-93,Anesthesia Refunds            ,USD,0.00,-2021.28,GL,01/31/2025,               ,80001          ,     ,I24093,140828594
AHF,202501_0080,44,80,0,80,101000,AD,01/10/2025,   3073953-235-47,999376252DEPALMO JOSEPH L    ,USD,0.00,100.00,AP,01/14/2025,               ,80001          ,     ,N235047,139756014
AHF,202501_0080,45,80,0,80,101000,AD,01/10/2025,   3073949-235-44,999376248CUTLIP DEAN R       ,USD,0.00,23.39,AP,01/14/2025,               ,80001          ,     ,N235044,139756011
AHF,202501_0080,46,80,0,80,101000,AD,01/10/2025,   3073948-235-43,999376247WEAVER MARY         ,USD,0.00,252.00,AP,01/14/2025,               ,80001          ,     ,N235043,139756010
AHF,202501_0080,47,80,0,80,101000,AD,01/10/2025,   3073947-235-42,999376246MCDEVITT BARBARA A  ,USD,0.00,26.27,AP,01/14/2025,               ,80001          ,     ,N235042,139756009
AHF,202501_0080,48,80,0,80,101000,AD,01/10/2025,   3073946-235-41,999376245COURTNEY KEITH M    ,USD,0.00,31.50,AP,01/14/2025,               ,80001          ,     ,N235041,139756008
AHF,202501_0080,49,80,0,80,101000,AD,01/10/2025,   3073945-235-40,999376244SLUSS BRITTANY R    ,USD,0.00,60.00,AP,01/14/2025,               ,80001          ,     ,N235040,139756007
AHF,202501_0080,50,80,0,80,101000,AD,01/10/2025,   3073944-235-39,999376243PIATT MARY M        ,USD,0.00,117.82,AP,01/14/2025,               ,80001          ,     ,N235039,139756006
AHF,202501_0080,51,80,0,80,101000,AD,01/10/2025,   3073943-235-38,999376242JOHNSON JEAN P      ,USD,0.00,519.00,AP,01/14/2025,               ,80001          ,     ,N235038,139756005
AHF,202501_0080,52,80,0,80,101000,AD,01/10/2025,   3073942-235-37,999376241WALTERS MADISON     ,USD,0.00,96.38,AP,01/14/2025,               ,80001          ,     ,N235037,139756004
AHF,202501_0080,53,80,0,80,101000,AD,01/10/2025,   3073941-235-36,999376240LLEWELLYN RANDY     ,USD,0.00,15.32,AP,01/14/2025,               ,80001          ,     ,N235036,139756003
AHF,202501_0080,54,80,0,80,101000,AD,01/10/2025,   3073940-235-35,999376239GRAY LINDA S        ,USD,0.00,200.00,AP,01/14/2025,               ,80001          ,     ,N235035,139756002
AHF,202501_0080,55,80,0,80,101000,AD,01/10/2025,   3073939-235-34,999376238HENNIGER JIMMY R    ,USD,0.00,19.02,AP,01/14/2025,               ,80001          ,     ,N235034,139756001
AHF,202501_0080,56,80,0,80,101000,AD,01/10/2025,   3073938-235-33,999376237FORD JESSICA L      ,USD,0.00,283.18,AP,01/14/2025,               ,80001          ,     ,N235033,139756000
AHF,202501_0080,57,80,0,80,101000,AD,01/10/2025,   3073937-235-32,999376236PETERSHEIM MARIE M  ,USD,0.00,864.00,AP,01/14/2025,               ,80001          ,     ,N235032,139755999
AHF,202501_0080,58,80,0,80,101000,AD,01/10/2025,   3073936-235-31,999376235STARK GAYNEL S      ,USD,0.00,78.00,AP,01/14/2025,               ,80001          ,     ,N235031,139755998
AHF,202501_0080,59,80,0,80,101000,AD,01/07/2025,   3074023-235-30,999376571RITA STEPHENS        ,USD,0.00,60.00,AP,01/14/2025,               ,80001          ,     ,N235030,139755997
AHF,202501_0080,60,80,0,80,101000,AD,12/18/2024,   3074024-235-29,999376572STEVEN CONNER        ,USD,0.00,165.00,AP,01/14/2025,               ,80001          ,     ,N235029,139755996
AHF,202501_0080,61,80,0,80,101000,AD,12/17/2024,   3074022-235-28,999376570CHRISTINA DOYLE      ,USD,0.00,103.35,AP,01/14/2025,               ,80001          ,     ,N235028,139755995
AHF,202501_0080,62,80,0,80,101000,AD,12/14/2024,   3073967-235-27,999376289DAIANE FLANAGAN      ,USD,0.00,30.00,AP,01/14/2025,               ,80001          ,     ,N235027,139755994
AHF,202501_0080,63,80,0,80,101000,AD,12/10/2024,   3073966-235-26,999376288ELAINE PREECE        ,USD,0.00,105.00,AP,01/14/2025,               ,80001          ,     ,N235026,139755993
AHF,202501_0080,64,80,0,80,101000,AD,12/26/2024,   3069823-39-2,    10581AULTMAN              ,USD,0.00,20.00,AP,01/02/2025,               ,80001          ,     ,N3902,139617554
AHF,202501_0080,65,80,0,80,101010,JE,02/03/2025,-24-95,Anesthesia Charges            ,USD,0.00,1072860.00,GL,01/31/2025,               ,80001          ,     ,I24095,140828596
AHF,202501_0080,66,80,0,80,101010,JE,02/03/2025,-24-97,Anesthesia Adjustments        ,USD,0.00,-457923.97,GL,01/31/2025,               ,80001          ,     ,I24097,140828598
AHF,202501_0080,67,80,0,80,101010,JE,02/03/2025,-24-99,Anesthesia Payments           ,USD,0.00,-545512.31,GL,01/31/2025,               ,80001          ,     ,I24099,140828600
AHF,202501_0080,68,80,0,80,101010,JE,02/03/2025,-24-101,Anesthesia Refunds            ,USD,0.00,2021.28,GL,01/31/2025,               ,80001          ,     ,I240101,140828602
AHF,202501_0080,69,80,0,80,101010,JE,02/03/2025,-24-105,Collections Writeoff          ,USD,0.00,-50206.96,GL,01/31/2025,               ,80001          ,     ,I240105,140828606
AHF,202501_0080,70,80,0,80,101010,NL,01/02/2025,AMBULATORY-1-2,A/R                           ,USD,0.00,-20.74,GL,01/01/2025,               ,80012          ,     ,N102,139491205
AHF,202501_0080,71,80,0,80,101010,NL,01/03/2025,AMBULATORY-3-10,A/R                           ,USD,0.00,2973.00,GL,01/02/2025,               ,80012          ,     ,N3010,139618708
AHF,202501_0080,72,80,0,80,101010,NL,01/03/2025,AMBULATORY-3-11,A/R                           ,USD,0.00,-236.17,GL,01/02/2025,               ,80012          ,     ,N3011,139618709
AHF,202501_0080,73,80,0,80,101010,NL,01/04/2025,AMBULATORY-5-2,A/R                           ,USD,0.00,3421.00,GL,01/03/2025,               ,80012          ,     ,N502,139635820
AHF,202501_0080,74,80,0,80,101010,NL,01/04/2025,AMBULATORY-5-3,A/R                           ,USD,0.00,-529.19,GL,01/03/2025,               ,80012          ,     ,N503,139635821
AHF,202501_0080,75,80,0,80,101010,NL,01/05/2025,AMBULATORY-6-2,A/R                           ,USD,0.00,-19.42,GL,01/04/2025,               ,80012          ,     ,N602,139636397
AHF,202501_0080,76,80,0,80,101010,NL,01/07/2025,AMBULATORY-11-12,A/R                           ,USD,0.00,5742.17,GL,01/06/2025,               ,80012          ,     ,N11012,139657379
AHF,202501_0080,77,80,0,80,101010,NL,01/08/2025,AMBULATORY-15-14,A/R                           ,USD,0.00,12738.08,GL,01/07/2025,               ,80012          ,     ,N15014,139670506
AHF,202501_0080,78,80,0,80,101010,NL,01/08/2025,AMBULATORY-15-15,A/R                           ,USD,0.00,-17362.86,GL,01/07/2025,               ,80012          ,     ,N15015,139670507
AHF,202501_0080,79,80,0,80,101010,NL,01/09/2025,AMBULATORY-19-20,A/R                           ,USD,0.00,8020.00,GL,01/08/2025,               ,80012          ,     ,N19020,139692743
AHF,202501_0080,80,80,0,80,101010,NL,01/09/2025,AMBULATORY-19-21,A/R                           ,USD,0.00,-2402.26,GL,01/08/2025,               ,80012          ,     ,N19021,139692744
