FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID,Column1
AHF,202505_0033,1,33,0,33,100000,MR,05/21/2025,MEDIPAC-57-1357,MEDIPAC DAILY                 ,USD,0,-210,GL,05/20/2025,               ,33000,     ,N5701357,143023537,Global Ledger Transaction Interface created
AHF,202505_0033,2,33,0,33,100008,MR,05/15/2025,MEDIPAC-43-1781,MEDIPAC DAILY                 ,USD,0,7912.1,GL,05/14/2025,               ,33000,     ,N4301781,142969406,Global Ledger Transaction Interface created
AHF,202505_0033,3,33,0,33,100008,MR,05/14/2025,MEDIPAC-37-1354,MEDIPAC DAILY                 ,USD,0,19357.61,GL,05/13/2025,               ,33000,     ,N3701354,142865158,Global Ledger Transaction Interface created
AHF,202505_0033,4,33,0,33,100008,MR,45935,MEDIPAC-27-1657,MEDIPAC DAILY                 ,USD,0,14446.57,GL,45905,               ,33000,     ,N2701657,142847518,Global Ledger Transaction Interface created
AHF,202505_0033,5,33,0,33,100008,MR,45905,MEDIPAC-23-1786,MEDIPAC DAILY                 ,USD,0,16119.97,GL,45874,               ,33000,     ,N2301786,142831331,Global Ledger Transaction Interface created
AHF,202505_0033,6,33,0,33,100008,MR,45874,MEDIPAC-21-1324,MEDIPAC DAILY                 ,USD,0,18266.5,GL,45843,               ,33000,     ,N2101324,142821610,Global Ledger Transaction Interface created
AHF,202505_0033,7,33,0,33,100008,MR,45721,MEDIPAC-8-1583,MEDIPAC DAILY                 ,USD,0,20856.99,GL,45693,               ,33000,     ,N801583,142724962,Global Ledger Transaction Interface created
AHF,202505_0033,8,33,0,33,100008,MR,45693,MEDIPAC-2-1822,MEDIPAC DAILY                 ,USD,0,12265,GL,45662,               ,33000,     ,N201822,142705320,Global Ledger Transaction Interface created
AHF,202505_0033,9,33,0,33,100008,JE,45783,-181,4.30 Loyale Service Fee       ,USD,0,-718.31,GL,05/31/2025,               ,33000,     ,I103078,143285870,Global Ledger Transaction Interface created
AHF,202505_0033,10,33,0,33,100008,JE,45783,-180,4.30 Loyale Service Fee       ,USD,0,-718.31,GL,05/31/2025,               ,33000,     ,I103077,143285868,Global Ledger Transaction Interface created
AHF,202505_0033,11,33,0,33,100008,JE,45783,-179,4.30 Loyale Service Fee       ,USD,0,-718.31,GL,05/31/2025,               ,33000,     ,I103076,143285866,Global Ledger Transaction Interface created
AHF,202505_0033,12,33,0,33,100008,JE,45783,-178,4.30 Loyale Service Fee       ,USD,0,-718.31,GL,05/31/2025,               ,33000,     ,I103075,143285864,Global Ledger Transaction Interface created
AHF,202505_0033,13,33,0,33,100008,JE,45694,-116,RC AP AN Activity             ,USD,0,-16377.35,GL,05/31/2025,               ,33000,     ,N11402,143181054,Global Ledger Transaction Interface created
AHF,202505_0033,14,33,0,33,100008,MR,05/31/2025,MEDIPAC-103-1357,MEDIPAC DAILY                 ,USD,0,18536.21,GL,05/30/2025,               ,33000,     ,N10301357,143082570,Global Ledger Transaction Interface created
AHF,202505_0033,15,33,0,33,100008,MR,05/30/2025,MEDIPAC-97-1649,MEDIPAC DAILY                 ,USD,0,14723.08,GL,05/29/2025,               ,33000,     ,N9701649,143077692,Global Ledger Transaction Interface created
AHF,202505_0033,16,33,0,33,100008,MR,05/29/2025,MEDIPAC-91-1337,MEDIPAC DAILY                 ,USD,0,11536.56,GL,05/28/2025,               ,33000,     ,N9101337,143070050,Global Ledger Transaction Interface created
AHF,202505_0033,17,33,0,33,100008,MR,05/28/2025,MEDIPAC-78-1419,MEDIPAC DAILY                 ,USD,0,29659.85,GL,05/27/2025,               ,33000,     ,N7801419,143063282,Global Ledger Transaction Interface created
AHF,202505_0033,18,33,0,33,100008,MR,05/24/2025,MEDIPAC-70-1793,MEDIPAC DAILY                 ,USD,0,21426.96,GL,05/23/2025,               ,33000,     ,N7001793,143049060,Global Ledger Transaction Interface created
AHF,202505_0033,19,33,0,33,100008,MR,05/23/2025,MEDIPAC-65-1374,MEDIPAC DAILY                 ,USD,0,18937.4,GL,05/22/2025,               ,33000,     ,N6501374,143037756,Global Ledger Transaction Interface created
AHF,202505_0033,20,33,0,33,100008,MR,05/22/2025,MEDIPAC-61-1369,MEDIPAC DAILY                 ,USD,0,7877.94,GL,05/21/2025,               ,33000,     ,N6101369,143031366,Global Ledger Transaction Interface created
AHF,202505_0033,21,33,0,33,100008,MR,05/21/2025,MEDIPAC-57-1358,MEDIPAC DAILY                 ,USD,0,11898.96,GL,05/20/2025,               ,33000,     ,N5701358,143023538,Global Ledger Transaction Interface created
AHF,202505_0033,22,33,0,33,100008,MR,05/20/2025,MEDIPAC-54-1305,MEDIPAC DAILY                 ,USD,0,33108.56,GL,05/19/2025,               ,33000,     ,N5401305,142997576,Global Ledger Transaction Interface created
AHF,202505_0033,23,33,0,33,100008,MR,05/17/2025,MEDIPAC-48-1810,MEDIPAC DAILY                 ,USD,0,15649.39,GL,05/16/2025,               ,33000,     ,N4801810,142987929,Global Ledger Transaction Interface created
AHF,202505_0033,24,33,0,33,100008,MR,05/16/2025,MEDIPAC-45-1744,MEDIPAC DAILY                 ,USD,0,18073.86,GL,05/15/2025,               ,33000,     ,N4501744,142978239,Global Ledger Transaction Interface created
AHF,202505_0033,25,33,0,33,100008,MR,05/13/2025,MEDIPAC-32-1308,MEDIPAC DAILY                 ,USD,0,27748.88,GL,45996,               ,33000,     ,N3201308,142857995,Global Ledger Transaction Interface created
AHF,202505_0033,26,33,0,33,100008,JE,45814,-280,AHF Transfer                  ,USD,0,-170000,GL,05/31/2025,               ,33000,     ,N27703,143308423,Global Ledger Transaction Interface created
AHF,202505_0033,27,33,0,33,100008,JE,45814,-278,AHF Transfer                  ,USD,0,-235000,GL,05/31/2025,               ,33000,     ,N27701,143308421,Global Ledger Transaction Interface created
AHF,202505_0033,28,33,0,33,100008,MR,45843,MEDIPAC-17-1337,MEDIPAC DAILY                 ,USD,0,11986.79,GL,45813,               ,33000,     ,N1701337,142806622,Global Ledger Transaction Interface created
AHF,202505_0033,29,33,0,33,100008,MR,45813,MEDIPAC-13-1257,MEDIPAC DAILY                 ,USD,0,41283.21,GL,45782,               ,33000,     ,N1301257,142743333,Global Ledger Transaction Interface created
AHF,202505_0033,30,33,0,33,100008,MR,45782,MEDIPAC-10-622,MEDIPAC DAILY                 ,USD,0,200.26,GL,45752,               ,33000,     ,N100622,142729545,Global Ledger Transaction Interface created
AHF,202505_0033,31,33,0,33,100078,AP,05/30/2025,      9731-598-1,Cash Disbursement             ,USD,0,-186.73,AP,05/30/2025,               ,33000,     ,N59801,143078566,Global Ledger Transaction Interface created
AHF,202505_0033,32,33,0,33,100078,JE,45694,-115,RC AP AN Activity             ,USD,0,16377.35,GL,05/31/2025,               ,33000,     ,N11401,143181053,Global Ledger Transaction Interface created
AHF,202505_0033,33,33,0,33,100078,AP,05/30/2025,      9724-592-5,Cash Disbursement             ,USD,0,-150,AP,05/30/2025,               ,33000,     ,N59205,143074766,Global Ledger Transaction Interface created
AHF,202505_0033,34,33,0,33,100078,AP,05/30/2025,      9725-592-6,Cash Disbursement             ,USD,0,-5,AP,05/30/2025,               ,33000,     ,N59206,143074767,Global Ledger Transaction Interface created
AHF,202505_0033,35,33,0,33,100078,AP,05/30/2025,      9726-592-7,Cash Disbursement             ,USD,0,-104.54,AP,05/30/2025,               ,33000,     ,N59207,143074768,Global Ledger Transaction Interface created
AHF,202505_0033,36,33,0,33,100078,AP,05/30/2025,      9727-592-8,Cash Disbursement             ,USD,0,-30,AP,05/30/2025,               ,33000,     ,N59208,143074769,Global Ledger Transaction Interface created
AHF,202505_0033,37,33,0,33,100078,AP,05/30/2025,      9728-592-9,Cash Disbursement             ,USD,0,-38.35,AP,05/30/2025,               ,33000,     ,N59209,143074770,Global Ledger Transaction Interface created
AHF,202505_0033,38,33,0,33,100078,AP,05/30/2025,      9729-592-10,Cash Disbursement             ,USD,0,-55.01,AP,05/30/2025,               ,33000,     ,N592010,143074771,Global Ledger Transaction Interface created
AHF,202505_0033,39,33,0,33,100078,AP,05/30/2025,      9730-592-11,Cash Disbursement             ,USD,0,-28.19,AP,05/30/2025,               ,33000,     ,N592011,143074772,Global Ledger Transaction Interface created
AHF,202505_0033,40,33,0,33,100078,AP,05/30/2025,      9723-592-4,Cash Disbursement             ,USD,0,-8,AP,05/30/2025,               ,33000,     ,N59204,143074765,Global Ledger Transaction Interface created
AHF,202505_0033,41,33,0,33,100078,AP,05/30/2025,      9722-592-3,Cash Disbursement             ,USD,0,-30,AP,05/30/2025,               ,33000,     ,N59203,143074764,Global Ledger Transaction Interface created
