FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202508_0040,1,40,0,40,100008,AP,08/13/2025,     16760-23-53,Cash Disbursement             ,USD,0.00,-10.00,AP,08/13/2025,               ,40010          ,     ,N23053,144702779
AHF,202508_0040,2,40,0,40,100008,AP,08/13/2025,     16759-23-52,Cash Disbursement             ,USD,0.00,-403.00,AP,08/13/2025,               ,40010          ,     ,N23052,144702778
AHF,202508_0040,3,40,0,40,100008,AP,08/13/2025,     16758-23-51,Cash Disbursement             ,USD,0.00,-120.00,AP,08/13/2025,               ,40010          ,     ,N23051,144702777
AHF,202508_0040,4,40,0,40,100008,AP,08/13/2025,     16757-23-50,Cash Disbursement             ,USD,0.00,-60.00,AP,08/13/2025,               ,40010          ,     ,N23050,144702776
AHF,202508_0040,5,40,0,40,100008,AP,08/13/2025,     16756-23-49,Cash Disbursement             ,USD,0.00,-10.91,AP,08/13/2025,               ,40010          ,     ,N23049,144702775
AHF,202508_0040,6,40,0,40,100008,AP,08/13/2025,     16755-23-48,Cash Disbursement             ,USD,0.00,-272.00,AP,08/13/2025,               ,40010          ,     ,N23048,144702774
AHF,202508_0040,7,40,0,40,100008,AP,08/13/2025,     16754-23-47,Cash Disbursement             ,USD,0.00,-37.00,AP,08/13/2025,               ,40010          ,     ,N23047,144702773
AHF,202508_0040,8,40,0,40,100008,AP,08/13/2025,     16753-23-46,Cash Disbursement             ,USD,0.00,-8.19,AP,08/13/2025,               ,40010          ,     ,N23046,144702772
AHF,202508_0040,9,40,0,40,100008,AP,08/13/2025,     16752-23-45,Cash Disbursement             ,USD,0.00,-60.00,AP,08/13/2025,               ,40010          ,     ,N23045,144702771
AHF,202508_0040,10,40,0,40,100008,AP,08/13/2025,     16751-23-44,Cash Disbursement             ,USD,0.00,-55.63,AP,08/13/2025,               ,40010          ,     ,N23044,144702770
AHF,202508_0040,11,40,0,40,100008,AP,08/13/2025,     16750-23-43,Cash Disbursement             ,USD,0.00,-30.00,AP,08/13/2025,               ,40010          ,     ,N23043,144702769
AHF,202508_0040,12,40,0,40,100008,AP,08/13/2025,     16749-23-42,Cash Disbursement             ,USD,0.00,-30.00,AP,08/13/2025,               ,40010          ,     ,N23042,144702768
AHF,202508_0040,13,40,0,40,100008,AP,08/13/2025,     16748-23-41,Cash Disbursement             ,USD,0.00,-25.00,AP,08/13/2025,               ,40010          ,     ,N23041,144702767
