FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202506_0060,1,60,0,60,100095,AP,06/03/2025,      1357-4-2,Cash Disbursement             ,USD,0.00,-2345.97,AP,06/03/2025,               ,60000          ,     ,N402,143096693
AHF,202506_0060,2,60,0,60,100095,AP,06/06/2025,      1189-20-1,Cash Disbursement             ,USD,0.00,-155.00,AP,06/06/2025,               ,60000          ,     ,N2001,143302577
AHF,202506_0060,3,60,0,60,100095,AP,06/06/2025,      1190-20-2,Cash Disbursement             ,USD,0.00,-18657.56,AP,06/06/2025,               ,60000          ,     ,N2002,143302578
AHF,202506_0060,4,60,0,60,100095,AP,06/06/2025,      1191-20-3,Cash Disbursement             ,USD,0.00,-295.00,AP,06/06/2025,               ,60000          ,     ,N2003,143302579
AHF,202506_0060,5,60,0,60,100095,AP,06/12/2025,      1358-48-1,Cash Disbursement             ,USD,0.00,-27.50,AP,06/12/2025,               ,60000          ,     ,N4801,143420685
AHF,202506_0060,6,60,0,60,100095,AP,06/12/2025,      1359-48-2,Cash Disbursement             ,USD,0.00,-6651.75,AP,06/12/2025,               ,60000          ,     ,N4802,143420686
AHF,202506_0060,7,60,0,60,100095,AP,06/12/2025,AP170-49-1,Summarized transaction        ,USD,0.00,-1693.91,AP,06/12/2025,               ,60000          ,     ,N4901,143420689
AHF,202506_0060,8,60,0,60,100095,JE,06/13/2025,-1-2,2024 State Tax Payments       ,USD,0.00,-3470760.00,GL,06/30/2025,               ,60000          ,     ,N102,143445539
AHF,202506_0060,9,60,0,60,100095,AP,06/13/2025,      1192-63-1,Cash Disbursement             ,USD,0.00,-175.00,AP,06/13/2025,               ,60000          ,     ,N6301,143435149
AHF,202506_0060,10,60,0,60,100095,AP,06/13/2025,      1193-63-2,Cash Disbursement             ,USD,0.00,-480.00,AP,06/13/2025,               ,60000          ,     ,N6302,143435150
AHF,202506_0060,11,60,0,60,100095,AP,06/13/2025,AP170-63-3,Summarized transaction        ,USD,0.00,-128266.17,AP,06/13/2025,               ,60000          ,     ,N6303,143435151
AHF,202506_0060,12,60,0,60,100095,JE,06/16/2025,-2-1,AultGen to AIC Transfer 6.6.25,USD,0.00,2500000.00,GL,06/30/2025,               ,60000          ,     ,N201,143497920
AHF,202506_0060,13,60,0,60,100095,JE,06/16/2025,-5-2,Collection Advances           ,USD,0.00,-8023.63,GL,06/30/2025,               ,60000          ,     ,N502,143497996
AHF,202506_0060,14,60,0,60,100095,AP,06/17/2025,AP170-75-1,Summarized transaction        ,USD,0.00,-552.50,AP,06/17/2025,               ,60000          ,     ,N7501,143496492
AHF,202506_0060,15,60,0,60,100095,AP,06/17/2025,      1362-75-2,Cash Disbursement             ,USD,0.00,-0.09,AP,06/17/2025,               ,60000          ,     ,N7502,143496493
AHF,202506_0060,16,60,0,60,100095,JE,06/16/2025,-283-3,AIC Reinsurance               ,USD,0.00,3306795.69,RJ,06/30/2025,               ,60000          ,     ,N28303,143497944
AHF,202506_0060,17,60,0,60,100095,JE,06/16/2025,-400-4,Capitation                    ,USD,0.00,-1966983.11,RJ,06/30/2025,               ,60000          ,     ,N40004,143495367
AHF,202506_0060,18,60,0,60,100095,JE,06/18/2025,-7-4,Holmes Family Care Mgmt Fee   ,USD,0.00,-1707.00,GL,06/30/2025,               ,60000          ,     ,N704,143528844
AHF,202506_0060,19,60,0,60,100095,JE,06/18/2025,-8-4,Pioneer Care Mgmt Fee         ,USD,0.00,-2334.00,GL,06/30/2025,               ,60000          ,     ,N804,143528853
AHF,202506_0060,20,60,0,60,100095,AP,06/19/2025,      1363-83-1,Cash Disbursement             ,USD,0.00,-121895.91,AP,06/19/2025,               ,60000          ,     ,N8301,143528866
AHF,202506_0060,21,60,0,60,100095,AP,06/19/2025,      1364-83-2,Cash Disbursement             ,USD,0.00,-24375.00,AP,06/19/2025,               ,60000          ,     ,N8302,143528867
AHF,202506_0060,22,60,0,60,100095,AP,06/19/2025,AP170-83-3,Summarized transaction        ,USD,0.00,-540.00,AP,06/19/2025,               ,60000          ,     ,N8303,143528868
AHF,202506_0060,23,60,0,60,100095,JE,06/20/2025,-13-3,Self to AIC Pomerene May P2   ,USD,0.00,109654.48,GL,06/30/2025,               ,60000          ,     ,N1303,143541374
