FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202506_0057,1,57,0,57,103842,JE,06/03/2025,-40-3,Aultra 052025 Rebate Accr     ,USD,0.00,-59691.36,GL,06/01/2025,               ,57000          ,     ,A4003,143443838
AHF,202506_0057,2,57,0,57,103842,JE,07/01/2025,-39-1,Aultra 062025 Rebate Accr     ,USD,0.00,53802.65,GL,06/30/2025,               ,57000          ,     ,N3901,143734767
AHF,202506_0057,3,57,0,57,103842,JE,07/01/2025,-40-3,Aultra 062025 Rebate Accr     ,USD,0.00,48422.38,GL,06/30/2025,               ,57000          ,     ,N4003,143735014
AHF,202506_0057,4,57,0,57,103842,JE,07/01/2025,-41-2,Optum Deposits Q1 2025        ,USD,0.00,-161768.30,GL,06/30/2025,               ,57000          ,     ,N4102,143755811
AHF,202506_0057,5,57,0,57,103842,JE,07/16/2025,-73-1,Aultra 062025 Rebate Accr     ,USD,0.00,69724.33,GL,06/30/2025,               ,57000          ,     ,N7301,144148490
AHF,202506_0057,6,57,0,57,103842,JE,07/16/2025,-74-3,Aultra 062025 Rebate Accr     ,USD,0.00,62751.90,GL,06/30/2025,               ,57000          ,     ,N7403,144148529
AHF,202506_0057,7,57,0,57,103842,JE,07/16/2025,-75-1,Aultra 062025 Rebate Accr     ,USD,0.00,-53802.65,GL,06/30/2025,               ,57000          ,     ,N7501,144148579
AHF,202506_0057,8,57,0,57,103842,JE,07/16/2025,-75-21,Aultra 062025 Rebate Accr     ,USD,0.00,-48422.38,GL,06/30/2025,               ,57000          ,     ,N75021,144148599
AHF,202506_0057,9,57,0,57,103985,AD,06/03/2025,    281785-15-31,    35877ROUNDSTONE MANAGEMENT,USD,0.00,338.26,AP,06/05/2025,               ,57000          ,     ,N15031,143301043
AHF,202506_0057,10,57,0,57,103985,AD,06/03/2025,    281836-34-6,999382460UNIVERSITY PRIMARY CA,USD,0.00,320.80,AP,06/06/2025,               ,57000          ,     ,N3406,143340904
AHF,202506_0057,11,57,0,57,103985,AD,06/03/2025,    281837-34-7,999382461UNITED PLATE GLASS CO,USD,0.00,431.70,AP,06/06/2025,               ,57000          ,     ,N3407,143340905
AHF,202506_0057,12,57,0,57,105150,ZB,06/03/2025,GL190-100001-32,Auto Offset From Zone 50      ,USD,0.00,-65.43,GL,06/06/2025,               ,57000          ,     ,I100001032,143408002
AHF,202506_0057,13,57,0,57,105150,ZB,06/06/2025,GL190-100001-116,Auto Offset From Zone 50      ,USD,0.00,-7499.32,PR,06/06/2025,               ,57000          ,     ,I1000010116,143408246
AHF,202506_0057,14,57,0,57,105150,ZB,06/04/2025,GL190-100002-114,Auto Offset From Zone 50      ,USD,0.00,-2051.06,GL,06/30/2025,               ,57000          ,     ,I1000020114,143408124
AHF,202506_0057,15,57,0,57,105150,ZB,06/06/2025,GL190-100009-13,Auto Offset From Zone 50      ,USD,0.00,-5.00,AP,06/06/2025,               ,57000          ,     ,I100009013,143407880
AHF,202506_0057,16,57,0,57,105150,ZB,06/13/2025,GL190-244-12,Auto Offset From Zone 50      ,USD,0.00,576.80,RJ,06/30/2025,               ,57000          ,     ,N244012,143446312
