FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202506_0035,1,35,0,35,100008,AP,06/13/2025,      1267-24-2,Cash Disbursement             ,USD,0.00,-1200.00,AP,06/13/2025,               ,35010          ,     ,N2402,143478423
AHF,202506_0035,2,35,0,35,100008,AP,06/13/2025,      1266-24-1,Cash Disbursement             ,USD,0.00,-700.00,AP,06/13/2025,               ,35010          ,     ,N2401,143478422
AHF,202506_0035,3,35,0,35,100008,AP,06/12/2025,      1638-16-1,Cash Disbursement             ,USD,0.00,-44.57,AP,06/12/2025,               ,35010          ,     ,N1601,143425534
AHF,202506_0035,4,35,0,35,100008,JE,07/11/2025,-700021-2,6-30 Client Cash PMT Deposit  ,USD,0.00,35.15,GL,06/30/2025,               ,35010          ,     ,I70002102,143891026
AHF,202506_0035,5,35,0,35,100008,JE,07/11/2025,-700021-1,6-2 Client Cash PMT Deposit   ,USD,0.00,901.45,GL,06/30/2025,               ,35010          ,     ,I70002101,143891025
AHF,202506_0035,6,35,0,35,100008,JE,07/09/2025,-33-1,Transfer from OPPC to MSO     ,USD,0.00,25000.00,GL,06/30/2025,               ,35010          ,     ,N3301,143878160
AHF,202506_0035,7,35,0,35,100008,AP,06/24/2025,      1650-39-3,Cash Disbursement             ,USD,0.00,-160.00,AP,06/24/2025,               ,35010          ,     ,N3903,143558665
AHF,202506_0035,8,35,0,35,100008,AP,06/24/2025,      1649-39-2,Cash Disbursement             ,USD,0.00,-599.54,AP,06/24/2025,               ,35010          ,     ,N3902,143558664
AHF,202506_0035,9,35,0,35,100008,AP,06/24/2025,      1648-39-1,Cash Disbursement             ,USD,0.00,-1196.50,AP,06/24/2025,               ,35010          ,     ,N3901,143558663
AHF,202506_0035,10,35,0,35,100008,AP,06/19/2025,      1647-34-4,Cash Disbursement             ,USD,0.00,-6450.00,AP,06/19/2025,               ,35010          ,     ,N3404,143532480
AHF,202506_0035,11,35,0,35,100008,AP,06/19/2025,      1646-34-3,Cash Disbursement             ,USD,0.00,-750.00,AP,06/19/2025,               ,35010          ,     ,N3403,143532479
AHF,202506_0035,12,35,0,35,100008,AP,06/19/2025,      1645-34-2,Cash Disbursement             ,USD,0.00,-638.66,AP,06/19/2025,               ,35010          ,     ,N3402,143532478
AHF,202506_0035,13,35,0,35,100008,AP,06/19/2025,      1644-34-1,Cash Disbursement             ,USD,0.00,-3402.00,AP,06/19/2025,               ,35010          ,     ,N3401,143532477
AHF,202506_0035,14,35,0,35,100008,AP,06/17/2025,      1643-28-5,Cash Disbursement             ,USD,0.00,-42.69,AP,06/17/2025,               ,35010          ,     ,N2805,143498436
AHF,202506_0035,15,35,0,35,100008,AP,06/17/2025,      1642-28-4,Cash Disbursement             ,USD,0.00,-2133.83,AP,06/17/2025,               ,35010          ,     ,N2804,143498435
AHF,202506_0035,16,35,0,35,100008,AP,06/17/2025,      1641-28-3,Cash Disbursement             ,USD,0.00,-584.10,AP,06/17/2025,               ,35010          ,     ,N2803,143498434
