FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202507_0035,1,35,0,35,100008,AP,07/01/2025,      1651-1-1,Cash Disbursement             ,USD,0.00,-142.06,AP,07/01/2025,               ,35010          ,     ,N101,143595692
AHF,202507_0035,2,35,0,35,100008,AP,07/01/2025,      1652-1-2,Cash Disbursement             ,USD,0.00,-200.00,AP,07/01/2025,               ,35010          ,     ,N102,143595693
AHF,202507_0035,3,35,0,35,100008,AP,07/01/2025,      1653-1-3,Cash Disbursement             ,USD,0.00,-1091.51,AP,07/01/2025,               ,35010          ,     ,N103,143595694
AHF,202507_0035,4,35,0,35,100008,AP,07/01/2025,      1654-1-4,Cash Disbursement             ,USD,0.00,-8600.00,AP,07/01/2025,               ,35010          ,     ,N104,143595695
AHF,202507_0035,5,35,0,35,100008,AP,07/08/2025,      1655-7-1,Cash Disbursement             ,USD,0.00,-65.96,AP,07/08/2025,               ,35010          ,     ,N701,143832272
AHF,202507_0035,6,35,0,35,100008,AP,07/08/2025,      1656-7-2,Cash Disbursement             ,USD,0.00,-217.00,AP,07/08/2025,               ,35010          ,     ,N702,143832273
AHF,202507_0035,7,35,0,35,100008,AP,07/08/2025,      1657-7-3,Cash Disbursement             ,USD,0.00,-4300.00,AP,07/08/2025,               ,35010          ,     ,N703,143832274
AHF,202507_0035,8,35,0,35,100008,AP,07/10/2025,      1658-9-1,Cash Disbursement             ,USD,0.00,-19.17,AP,07/10/2025,               ,35010          ,     ,N901,143876099
AHF,202507_0035,9,35,0,35,100008,JE,08/08/2025,-33-3,Transfer from OPPC to MSO     ,USD,0.00,20000.00,GL,07/31/2025,               ,35010          ,     ,N3303,144493279
AHF,202507_0035,10,35,0,35,100008,JE,08/08/2025,-33-1,Transfer from OPPC to MSO     ,USD,0.00,25000.00,GL,07/31/2025,               ,35010          ,     ,N3301,144493277
AHF,202507_0035,11,35,0,35,100008,AP,07/31/2025,      1676-48-2,Cash Disbursement             ,USD,0.00,-1198.83,AP,07/31/2025,               ,35010          ,     ,N4802,144255985
AHF,202507_0035,12,35,0,35,100008,AP,07/31/2025,      1675-48-1,Cash Disbursement             ,USD,0.00,-308.50,AP,07/31/2025,               ,35010          ,     ,N4801,144255984
AHF,202507_0035,13,35,0,35,100008,AP,07/29/2025,      1674-44-1,Cash Disbursement             ,USD,0.00,-78.52,AP,07/29/2025,               ,35010          ,     ,N4401,144209049
AHF,202507_0035,14,35,0,35,100008,AP,07/24/2025,      1673-38-4,Cash Disbursement             ,USD,0.00,-2150.00,AP,07/24/2025,               ,35010          ,     ,N3804,144184517
AHF,202507_0035,15,35,0,35,100008,AP,07/24/2025,      1672-38-3,Cash Disbursement             ,USD,0.00,-67.23,AP,07/24/2025,               ,35010          ,     ,N3803,144184516
AHF,202507_0035,16,35,0,35,100008,AP,07/24/2025,      1671-38-2,Cash Disbursement             ,USD,0.00,-1890.29,AP,07/24/2025,               ,35010          ,     ,N3802,144184515
AHF,202507_0035,17,35,0,35,100008,AP,07/24/2025,      1670-38-1,Cash Disbursement             ,USD,0.00,-300.00,AP,07/24/2025,               ,35010          ,     ,N3801,144184514
AHF,202507_0035,18,35,0,35,100008,AP,07/22/2025,      1669-35-5,Cash Disbursement             ,USD,0.00,-2225.00,AP,07/22/2025,               ,35010          ,     ,N3505,144171071
AHF,202507_0035,19,35,0,35,100008,AP,07/22/2025,      1668-35-4,Cash Disbursement             ,USD,0.00,-207.00,AP,07/22/2025,               ,35010          ,     ,N3504,144171070
AHF,202507_0035,20,35,0,35,100008,AP,07/22/2025,      1667-35-3,Cash Disbursement             ,USD,0.00,-6450.00,AP,07/22/2025,               ,35010          ,     ,N3503,144171069
AHF,202507_0035,21,35,0,35,100008,AP,07/22/2025,      1666-35-2,Cash Disbursement             ,USD,0.00,-888.00,AP,07/22/2025,               ,35010          ,     ,N3502,144171068
AHF,202507_0035,22,35,0,35,100008,AP,07/22/2025,      1665-35-1,Cash Disbursement             ,USD,0.00,-200.00,AP,07/22/2025,               ,35010          ,     ,N3501,144171067
AHF,202507_0035,23,35,0,35,100008,AP,07/15/2025,      1661-19-3,Cash Disbursement             ,USD,0.00,-1196.50,AP,07/15/2025,               ,35010          ,     ,N1903,144083631
AHF,202507_0035,24,35,0,35,100008,AP,07/15/2025,      1660-19-2,Cash Disbursement             ,USD,0.00,-167.23,AP,07/15/2025,               ,35010          ,     ,N1902,144083630
AHF,202507_0035,25,35,0,35,100008,AP,07/15/2025,      1659-19-1,Cash Disbursement             ,USD,0.00,-260.00,AP,07/15/2025,               ,35010          ,     ,N1901,144083629
AHF,202507_0035,26,35,0,35,100008,JE,07/25/2025,-100009-1,P6 Sales Tax pd 7.2025        ,USD,0.00,-21.87,GL,07/31/2025,               ,35010          ,     ,I10000901,144196994
AHF,202507_0035,27,35,0,35,100008,JE,08/12/2025,-750020-1,P7 AP Returns - From Oct-Feb  ,USD,0.00,68250.11,GL,07/31/2025,               ,35010          ,     ,I75002001,144537811
AHF,202507_0035,28,35,0,35,100008,JE,08/08/2025,-700018-1,7-14 Client Cash PMT Deposit  ,USD,0.00,2499.54,GL,07/31/2025,               ,35010          ,     ,I70001801,144493621
AHF,202507_0035,29,35,0,35,100008,AP,07/17/2025,      1664-27-3,Cash Disbursement             ,USD,0.00,-1080.23,AP,07/17/2025,               ,35010          ,     ,N2703,144148484
