FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID,Column1
AHF,202511_0085,1,85,0,85,100008,JE,45881,-100139,Interco Transfer 11/7/2025    ,USD,0,-1300000,GL,11/30/2025,               ,86000,     ,I10013801,146941610,Global Ledger Transaction Interface created
AHF,202511_0085,2,85,0,85,100072,JE,45700,-100047,11/18/2025 Anthem Deposit     ,USD,0,100705.02,GL,11/30/2025,               ,85000,     ,I10004106,146830243,Global Ledger Transaction Interface created
AHF,202511_0085,3,85,0,85,100072,JE,45700,-100046,11/18/2025 Anthem Deposit     ,USD,0,1319.06,GL,11/30/2025,               ,85000,     ,I10004105,146830242,Global Ledger Transaction Interface created
AHF,202511_0085,4,85,0,85,100072,JE,45700,-100045,11/18/2025 Anthem Deposit     ,USD,0,969.84,GL,11/30/2025,               ,85000,     ,I10004104,146830241,Global Ledger Transaction Interface created
AHF,202511_0085,5,85,0,85,100072,JE,45700,-100044,11/7/2025 MMO Deposit         ,USD,0,27339,GL,11/30/2025,               ,85000,     ,I10004103,146830240,Global Ledger Transaction Interface created
AHF,202511_0085,6,85,0,85,100072,JE,45700,-100043,11/4/2025 UHC Deposit         ,USD,0,54620,GL,11/30/2025,               ,85000,     ,I10004102,146830239,Global Ledger Transaction Interface created
AHF,202511_0085,7,85,0,85,100072,JE,45700,-100042,9/30/2025 Dep Correction      ,USD,0,-747,GL,11/30/2025,               ,85000,     ,I10004101,146830238,Global Ledger Transaction Interface created
AHF,202511_0085,8,85,0,85,100072,AP,11/27/2025,      4000-18-3,Cash Disbursement             ,USD,0,-3182.7,AP,11/27/2025,               ,85000,     ,N1803,146676853,Global Ledger Transaction Interface created
AHF,202511_0085,9,85,0,85,100072,AP,11/27/2025,      3999-18-2,Cash Disbursement             ,USD,0,-18.74,AP,11/27/2025,               ,85000,     ,N1802,146676852,Global Ledger Transaction Interface created
AHF,202511_0085,10,85,0,85,100072,AP,11/27/2025,      3998-18-1,Cash Disbursement             ,USD,0,-318.74,AP,11/27/2025,               ,85000,     ,N1801,146676851,Global Ledger Transaction Interface created
AHF,202511_0085,11,85,0,85,100072,AP,11/20/2025,      3997-14-4,Cash Disbursement             ,USD,0,-84.95,AP,11/20/2025,               ,85000,     ,N1404,146636702,Global Ledger Transaction Interface created
AHF,202511_0085,12,85,0,85,100072,AP,11/20/2025,      3996-14-3,Cash Disbursement             ,USD,0,-12.72,AP,11/20/2025,               ,85000,     ,N1403,146636701,Global Ledger Transaction Interface created
