FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID,Column1
AHF,202505_0060,1,60,0,60,100095,JE,45722,-211,FRST BK MRCH SVCDEPOSIT 250506,USD,0,5736.33,GL,05/31/2025,               ,60000,     ,N380173,143241541,Global Ledger Transaction Interface created
AHF,202505_0060,2,60,0,60,100095,JE,45722,-212,FRST BK MRCH SVCDEPOSIT 250507,USD,0,4888.29,GL,05/31/2025,               ,60000,     ,N380174,143241542,Global Ledger Transaction Interface created
AHF,202505_0060,3,60,0,60,100095,JE,45722,-213,FRST BK MRCH SVCDEPOSIT 250508,USD,0,3630.89,GL,05/31/2025,               ,60000,     ,N380175,143241543,Global Ledger Transaction Interface created
AHF,202505_0060,4,60,0,60,100095,JE,45722,-214,FRST BK MRCH SVCDEPOSIT 250510,USD,0,2728.3,GL,05/31/2025,               ,60000,     ,N380176,143241544,Global Ledger Transaction Interface created
AHF,202505_0060,5,60,0,60,100095,JE,45722,-215,FRST BK MRCH SVCDEPOSIT 250509,USD,0,1386.75,GL,05/31/2025,               ,60000,     ,N380177,143241545,Global Ledger Transaction Interface created
AHF,202505_0060,6,60,0,60,100095,JE,45722,-216,FRST BK MRCH SVCDEPOSIT 250511,USD,0,150.18,GL,05/31/2025,               ,60000,     ,N380178,143241546,Global Ledger Transaction Interface created
AHF,202505_0060,7,60,0,60,100095,JE,45722,-217,FRST BK MRCH SVCDEPOSIT 250512,USD,0,774.99,GL,05/31/2025,               ,60000,     ,N380179,143241547,Global Ledger Transaction Interface created
AHF,202505_0060,8,60,0,60,100095,JE,45722,-218,FRST BK MRCH SVCDEPOSIT 250513,USD,0,1543.05,GL,05/31/2025,               ,60000,     ,N380180,143241548,Global Ledger Transaction Interface created
AHF,202505_0060,9,60,0,60,100095,JE,45722,-219,FRST BK MRCH SVCDEPOSIT 250514,USD,0,5734.01,GL,05/31/2025,               ,60000,     ,N380181,143241549,Global Ledger Transaction Interface created
AHF,202505_0060,10,60,0,60,100095,JE,45722,-277,VALLEY HYDRAULICBILL_PAY 05062,USD,0,344.16,GL,05/31/2025,               ,60000,     ,N380239,143241607,Global Ledger Transaction Interface created
AHF,202505_0060,11,60,0,60,100095,JE,45722,-278,S.E.R.S. SERS HC 2505122263096,USD,0,117588.1,GL,05/31/2025,               ,60000,     ,N380240,143241608,Global Ledger Transaction Interface created
AHF,202505_0060,12,60,0,60,100095,JE,45722,-280,NATIONALFOOTBALLEDI PYMNTS 103,USD,0,87359.92,GL,05/31/2025,               ,60000,     ,N380242,143241610,Global Ledger Transaction Interface created
AHF,202505_0060,13,60,0,60,100095,JE,45722,-281,UNIFIED CONSTRUCACH PAYMEN 245,USD,0,52274.51,GL,05/31/2025,               ,60000,     ,N380243,143241611,Global Ledger Transaction Interface created
AHF,202505_0060,14,60,0,60,100095,JE,45722,-282,NJASAP 9369 AULTRA AULTRA REF*,USD,0,314.15,GL,05/31/2025,               ,60000,     ,N380244,143241612,Global Ledger Transaction Interface created
AHF,202505_0060,15,60,0,60,100095,JE,45722,-283,COBLENTZ FAMILY EPAY 250521UNI,USD,0,29481,GL,05/31/2025,               ,60000,     ,N380245,143241613,Global Ledger Transaction Interface created
AHF,202505_0060,16,60,0,60,100095,JE,45722,-284,MINERALS TECHNOLPAYMENT 0006AU,USD,0,13260.75,GL,05/31/2025,               ,60000,     ,N380246,143241614,Global Ledger Transaction Interface created
AHF,202505_0060,17,60,0,60,100095,JE,45722,-285,FRED OLIVIERI COELEC PAYMT 278,USD,0,50469.3,GL,05/31/2025,               ,60000,     ,N380247,143241615,Global Ledger Transaction Interface created
AHF,202505_0060,18,60,0,60,100095,JE,45722,-286,WINESBURG PALLETACH PAYMEN 369,USD,0,48118.35,GL,05/31/2025,               ,60000,     ,N380248,143241616,Global Ledger Transaction Interface created
AHF,202505_0060,19,60,0,60,100095,JE,45722,-287,BOVILLE INDUSTRIVENDOR PAY2505,USD,0,17237.94,GL,05/31/2025,               ,60000,     ,N380249,143241617,Global Ledger Transaction Interface created
AHF,202505_0060,20,60,0,60,100095,JE,45722,-288,NEOMED INVOICE 250521@00067702,USD,0,443193.7,GL,05/31/2025,               ,60000,     ,N380250,143241618,Global Ledger Transaction Interface created
AHF,202505_0060,21,60,0,60,100095,JE,45722,-289,MRO BUILT  LLC MROI002946 AULT,USD,0,40019.25,GL,05/31/2025,               ,60000,     ,N380251,143241619,Global Ledger Transaction Interface created
AHF,202505_0060,22,60,0,60,100095,JE,45722,-290,STARK COUNTY TREPAYMENT V00004,USD,0,23181.19,GL,05/31/2025,               ,60000,     ,N380252,143241620,Global Ledger Transaction Interface created
AHF,202505_0060,23,60,0,60,100095,JE,45722,-291,PULMONARY PHYSICCORP PAY AULTC,USD,0,468.92,GL,05/31/2025,               ,60000,     ,N380253,143241621,Global Ledger Transaction Interface created
AHF,202505_0060,24,60,0,60,100095,JE,45722,-292,TASC OP 4563 CASH DISB JAN 202,USD,0,10080.2,GL,05/31/2025,               ,60000,     ,N380254,143241622,Global Ledger Transaction Interface created
AHF,202505_0060,25,60,0,60,100095,JE,45722,-293,LIFECARE FAMILY CORP PAY AULTC,USD,0,117853.52,GL,05/31/2025,               ,60000,     ,N380255,143241623,Global Ledger Transaction Interface created
AHF,202505_0060,26,60,0,60,100095,JE,45722,-294,NATIONALFOOTBALLEDI PYMNTS 103,USD,0,86673.47,GL,05/31/2025,               ,60000,     ,N380256,143241624,Global Ledger Transaction Interface created
AHF,202505_0060,27,60,0,60,100095,JE,45722,-295,THE WORKHSOP INCPAYABLE AULTCA,USD,0,59339.7,GL,05/31/2025,               ,60000,     ,N380257,143241625,Global Ledger Transaction Interface created
AHF,202505_0060,28,60,0,60,100095,JE,45722,-296,ALPINE DAIRL LLCCORP PAY 25052,USD,0,42324.75,GL,05/31/2025,               ,60000,     ,N380258,143241626,Global Ledger Transaction Interface created
AHF,202505_0060,29,60,0,60,100095,JE,45722,-297,FIRST CLASS TRANAULTCARE 25052,USD,0,33672.55,GL,05/31/2025,               ,60000,     ,N380259,143241627,Global Ledger Transaction Interface created
AHF,202505_0060,30,60,0,60,100095,JE,45722,-298,PATHWAY CARING FPY05/29/252505,USD,0,26822.05,GL,05/31/2025,               ,60000,     ,N380260,143241628,Global Ledger Transaction Interface created
AHF,202505_0060,31,60,0,60,100095,JE,45722,-299,COBLENTZ FAMILY EPAY 250530UNI,USD,0,26133.8,GL,05/31/2025,               ,60000,     ,N380261,143241629,Global Ledger Transaction Interface created
AHF,202505_0060,32,60,0,60,100095,JE,45722,-300,AKFAB1236 PAYMENTS INS RMR*PAI,USD,0,25003.33,GL,05/31/2025,               ,60000,     ,N380262,143241630,Global Ledger Transaction Interface created
AHF,202505_0060,33,60,0,60,100095,JE,45722,-301,NASCO-OP TJ 052925 250530AUL00,USD,0,14640.35,GL,05/31/2025,               ,60000,     ,N380263,143241631,Global Ledger Transaction Interface created
AHF,202505_0060,34,60,0,60,100095,JE,45722,-302,HUNTINGTON BP   MERCH PMT 2505,USD,0,131.12,GL,05/31/2025,               ,60000,     ,N380264,143241632,Global Ledger Transaction Interface created
AHF,202505_0060,35,60,0,60,100095,JE,45722,-303,ACH SETTLEMENT RETURNS 250508-,USD,0,0.01,GL,05/31/2025,               ,60000,     ,N380265,143241633,Global Ledger Transaction Interface created
AHF,202505_0060,36,60,0,60,100095,JE,45722,-304,SUBSTITUTE CHECK REVERSAL     ,USD,0,88.24,GL,05/31/2025,               ,60000,     ,N380266,143241634,Global Ledger Transaction Interface created
AHF,202505_0060,37,60,0,60,100095,JE,45722,-305,EE CHK 32284770               ,USD,0,0.01,GL,05/31/2025,               ,60000,     ,N380267,143241635,Global Ledger Transaction Interface created
AHF,202505_0060,38,60,0,60,100095,JE,45722,-306,Debits MAY                    ,USD,0,-24070.65,GL,05/31/2025,               ,60000,     ,N380268,143241636,Global Ledger Transaction Interface created
AHF,202505_0060,39,60,0,60,100095,JE,45722,-315,OTHER DEPOSITS MAY 2025       ,USD,0,78963.85,GL,05/31/2025,               ,60000,     ,N380277,143241645,Global Ledger Transaction Interface created
AHF,202505_0060,40,60,0,60,100095,JE,45783,-93,05-01-25CHKAIC                ,USD,0,-111547.92,GL,05/31/2025,               ,60000,     ,N49044,143289349,Global Ledger Transaction Interface created
AHF,202505_0060,41,60,0,60,100095,JE,45783,-94,05-01-25EFTAIC                ,USD,0,-644437.76,GL,05/31/2025,               ,60000,     ,N49045,143289350,Global Ledger Transaction Interface created
AHF,202505_0060,42,60,0,60,100095,JE,45783,-95,05-02-25CHKAIC                ,USD,0,-99740.96,GL,05/31/2025,               ,60000,     ,N49046,143289351,Global Ledger Transaction Interface created
AHF,202505_0060,43,60,0,60,100095,JE,45783,-96,05-02-25EFTAIC                ,USD,0,-383052.31,GL,05/31/2025,               ,60000,     ,N49047,143289352,Global Ledger Transaction Interface created
AHF,202505_0060,44,60,0,60,100095,JE,45783,-97,05-05-25CHKAIC                ,USD,0,-59300.04,GL,05/31/2025,               ,60000,     ,N49048,143289353,Global Ledger Transaction Interface created
AHF,202505_0060,45,60,0,60,100095,JE,45783,-98,05-05-25EFTAIC                ,USD,0,-443427.97,GL,05/31/2025,               ,60000,     ,N49049,143289354,Global Ledger Transaction Interface created
AHF,202505_0060,46,60,0,60,100095,JE,45783,-99,05-06-25CHKAIC                ,USD,0,-31223.9,GL,05/31/2025,               ,60000,     ,N49050,143289355,Global Ledger Transaction Interface created
AHF,202505_0060,47,60,0,60,100095,JE,45783,-100,05-06-25EFTAIC                ,USD,0,-381215.27,GL,05/31/2025,               ,60000,     ,N49051,143289356,Global Ledger Transaction Interface created
