FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202509_0043,1,43,0,43,100072,AP,09/12/2025,      1230-2-1,Cash Disbursement             ,USD,0.00,-262.95,AP,09/12/2025,               ,43001          ,     ,N201,145138845
AHF,202509_0043,2,43,0,43,104000,CB,10/06/2025,GL40-100092-2,Auto offset from company 0010 ,USD,0.00,-195.00,GL,09/30/2025,               ,43001          ,     ,I10009202,145680883
AHF,202509_0043,3,43,0,43,200000,AC,08/31/2025,AP175-1-1,Accounts Payable Accrual      ,USD,0.00,-268.28,AP,09/04/2025,               ,43001          ,     ,N101,145058313
AHF,202509_0043,4,43,0,43,200000,AP,09/12/2025,      1230-2-2,Payment Accrual               ,USD,0.00,262.95,AP,09/12/2025,               ,43001          ,     ,N202,145138846
AHF,202509_0043,5,43,0,43,701140,AD,08/31/2025,     26258-1-2,    36957RETRIEVEX HOLDINGS CO,USD,0.00,268.28,AP,09/04/2025,               ,43010          ,     ,N102,145058314
AHF,202509_0043,6,43,0,43,701450,JE,10/06/2025,-100092-1,AULTMAN SPEC KEY BANK FEES    ,USD,0.00,195.00,GL,09/30/2025,               ,43010          ,     ,I10009201,145680881

