FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202507_0043,1,43,0,43,100072,AP,07/11/2025,      1228-1-1,Cash Disbursement             ,USD,0.00,-257.14,AP,07/11/2025,               ,43001          ,     ,N101,143887777
AHF,202507_0043,2,43,0,43,104000,CB,08/05/2025,GL40-100070-2,Auto offset from company 0010 ,USD,0.00,-205.00,GL,07/31/2025,               ,43001          ,     ,I10007002,144429229
AHF,202507_0043,3,43,0,43,200000,AP,07/11/2025,      1228-1-2,Payment Accrual               ,USD,0.00,257.14,AP,07/11/2025,               ,43001          ,     ,N102,143887778
AHF,202507_0043,4,43,0,43,200000,AC,06/30/2025,AP175-2-1,Accounts Payable Accrual      ,USD,0.00,-262.95,AP,07/28/2025,               ,43001          ,     ,N201,144210360
AHF,202507_0043,5,43,0,43,701140,AD,06/30/2025,     26256-2-2,    36957RETRIEVEX HOLDINGS CO,USD,0.00,262.95,AP,07/28/2025,               ,43010          ,     ,N202,144210361
AHF,202507_0043,6,43,0,43,701450,JE,08/05/2025,-100070-1,AULTMAN SPEC KEY BANK FEES    ,USD,0.00,205.00,GL,07/31/2025,               ,43010          ,     ,I10007001,144429227

