FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID,Column1
AHF,202509_0087,1,87,0,87,100000,JE,08/26/2025,-3,MASPC Quarterly Financials    ,USD,0,-988762,GL,45666,               ,87000,     ,A201,146071731,Global Ledger Transaction Interface created
AHF,202509_0087,2,87,0,87,100000,JE,10/23/2025,-2,MASPC Quarterly Financials    ,USD,0,1706822,GL,09/30/2025,               ,87000,     ,N101,146072118,Global Ledger Transaction Interface created
AHF,202509_0087,3,87,0,87,103820,JE,10/23/2025,-3,MASPC Quarterly Financials    ,USD,0,20613889,GL,09/30/2025,               ,87000,     ,N102,146072119,Global Ledger Transaction Interface created
AHF,202509_0087,4,87,0,87,103820,JE,08/26/2025,-4,MASPC Quarterly Financials    ,USD,0,-26281977,GL,45666,               ,87000,     ,A202,146071732,Global Ledger Transaction Interface created
AHF,202509_0087,5,87,0,87,103840,JE,08/26/2025,-5,MASPC Quarterly Financials    ,USD,0,-14292120,GL,45666,               ,87000,     ,A203,146071733,Global Ledger Transaction Interface created
AHF,202509_0087,6,87,0,87,103840,JE,10/23/2025,-4,MASPC Quarterly Financials    ,USD,0,11362548,GL,09/30/2025,               ,87000,     ,N103,146072120,Global Ledger Transaction Interface created
AHF,202509_0087,7,87,0,87,103865,JE,10/23/2025,-5,MASPC Quarterly Financials    ,USD,0,21015,GL,09/30/2025,               ,87000,     ,N104,146072121,Global Ledger Transaction Interface created
AHF,202509_0087,8,87,0,87,103865,JE,08/26/2025,-6,MASPC Quarterly Financials    ,USD,0,-21278,GL,45666,               ,87000,     ,A204,146071734,Global Ledger Transaction Interface created
AHF,202509_0087,9,87,0,87,107060,JE,08/26/2025,-9,MASPC Quarterly Financials    ,USD,0,-50771,GL,45666,               ,87000,     ,A207,146071737,Global Ledger Transaction Interface created
AHF,202509_0087,10,87,0,87,107060,JE,10/23/2025,-8,MASPC Quarterly Financials    ,USD,0,11302,GL,09/30/2025,               ,87000,     ,N107,146072124,Global Ledger Transaction Interface created
AHF,202509_0087,11,87,0,87,107063,JE,10/23/2025,-6,MASPC Quarterly Financials    ,USD,0,1179678,GL,09/30/2025,               ,87000,     ,N105,146072122,Global Ledger Transaction Interface created
AHF,202509_0087,12,87,0,87,107063,JE,08/26/2025,-7,MASPC Quarterly Financials    ,USD,0,-1626305,GL,45666,               ,87000,     ,A205,146071735,Global Ledger Transaction Interface created
AHF,202509_0087,13,87,0,87,107064,JE,08/26/2025,-8,MASPC Quarterly Financials    ,USD,0,-137923,GL,45666,               ,87000,     ,A206,146071736,Global Ledger Transaction Interface created
AHF,202509_0087,14,87,0,87,107064,JE,10/23/2025,-7,MASPC Quarterly Financials    ,USD,0,121388,GL,09/30/2025,               ,87000,     ,N106,146072123,Global Ledger Transaction Interface created
AHF,202509_0087,15,87,0,87,115211,JE,10/23/2025,-9,MASPC Quarterly Financials    ,USD,0,19574991,GL,09/30/2025,               ,87000,     ,N108,146072125,Global Ledger Transaction Interface created
AHF,202509_0087,16,87,0,87,115211,JE,08/26/2025,-10,MASPC Quarterly Financials    ,USD,0,-19018573,GL,45666,               ,87000,     ,A208,146071738,Global Ledger Transaction Interface created
AHF,202509_0087,17,87,0,87,200000,JE,08/26/2025,-11,MASPC Quarterly Financials    ,USD,0,28444,GL,45666,               ,87000,     ,A209,146071739,Global Ledger Transaction Interface created
AHF,202509_0087,18,87,0,87,200000,JE,10/23/2025,-10,MASPC Quarterly Financials    ,USD,0,-37807,GL,09/30/2025,               ,87000,     ,N109,146072126,Global Ledger Transaction Interface created
AHF,202509_0087,19,87,0,87,205000,JE,10/23/2025,-17,MASPC Quarterly Financials    ,USD,0,-8809341,GL,09/30/2025,               ,87000,     ,N1016,146072133,Global Ledger Transaction Interface created
AHF,202509_0087,20,87,0,87,205000,JE,08/26/2025,-18,MASPC Quarterly Financials    ,USD,0,12181655,GL,45666,               ,87000,     ,A2016,146071746,Global Ledger Transaction Interface created
AHF,202509_0087,21,87,0,87,205062,JE,10/23/2025,-11,MASPC Quarterly Financials    ,USD,0,-9975,GL,09/30/2025,               ,87000,     ,N1010,146072127,Global Ledger Transaction Interface created
AHF,202509_0087,22,87,0,87,205062,JE,08/26/2025,-12,MASPC Quarterly Financials    ,USD,0,9975,GL,45666,               ,87000,     ,A2010,146071740,Global Ledger Transaction Interface created
AHF,202509_0087,23,87,0,87,205063,JE,08/26/2025,-13,MASPC Quarterly Financials    ,USD,0,137923,GL,45666,               ,87000,     ,A2011,146071741,Global Ledger Transaction Interface created
AHF,202509_0087,24,87,0,87,205063,JE,10/23/2025,-12,MASPC Quarterly Financials    ,USD,0,-121388,GL,09/30/2025,               ,87000,     ,N1011,146072128,Global Ledger Transaction Interface created
AHF,202509_0087,25,87,0,87,205064,JE,10/23/2025,-13,MASPC Quarterly Financials    ,USD,0,-19363613,GL,09/30/2025,               ,87000,     ,N1012,146072129,Global Ledger Transaction Interface created
AHF,202509_0087,26,87,0,87,205064,JE,08/26/2025,-14,MASPC Quarterly Financials    ,USD,0,16260180,GL,45666,               ,87000,     ,A2012,146071742,Global Ledger Transaction Interface created
AHF,202509_0087,27,87,0,87,205065,JE,10/23/2025,-14,MASPC Quarterly Financials    ,USD,0,-2774978,GL,09/30/2025,               ,87000,     ,N1013,146072130,Global Ledger Transaction Interface created
AHF,202509_0087,28,87,0,87,205065,JE,08/26/2025,-15,MASPC Quarterly Financials    ,USD,0,6082828,GL,45666,               ,87000,     ,A2013,146071743,Global Ledger Transaction Interface created
AHF,202509_0087,29,87,0,87,205066,JE,10/23/2025,-15,MASPC Quarterly Financials    ,USD,0,-15148344,GL,09/30/2025,               ,87000,     ,N1014,146072131,Global Ledger Transaction Interface created
AHF,202509_0087,30,87,0,87,205066,JE,08/26/2025,-16,MASPC Quarterly Financials    ,USD,0,19744400,GL,45666,               ,87000,     ,A2014,146071744,Global Ledger Transaction Interface created
AHF,202509_0087,31,87,0,87,205068,JE,10/23/2025,-16,MASPC Quarterly Financials    ,USD,0,-1673214,GL,09/30/2025,               ,87000,     ,N1015,146072132,Global Ledger Transaction Interface created
AHF,202509_0087,32,87,0,87,205068,JE,08/26/2025,-17,MASPC Quarterly Financials    ,USD,0,1470507,GL,45666,               ,87000,     ,A2015,146071745,Global Ledger Transaction Interface created
AHF,202509_0087,33,87,0,87,300000,JE,10/23/2025,-18,MASPC Quarterly Financials    ,USD,0,-4851619,GL,09/30/2025,               ,87000,     ,N1017,146072134,Global Ledger Transaction Interface created
AHF,202509_0087,34,87,0,87,300000,JE,08/26/2025,-19,MASPC Quarterly Financials    ,USD,0,4854941,GL,45666,               ,87000,     ,A2017,146071747,Global Ledger Transaction Interface created
AHF,202509_0087,35,87,0,87,300011,JE,10/23/2025,-19,MASPC Quarterly Financials    ,USD,0,1435,GL,09/30/2025,               ,87000,     ,N1018,146072135,Global Ledger Transaction Interface created
AHF,202509_0087,36,87,0,87,300011,JE,08/26/2025,-20,MASPC Quarterly Financials    ,USD,0,-4755,GL,45666,               ,87000,     ,A2018,146071748,Global Ledger Transaction Interface created
AHF,202509_0087,37,87,0,87,300015,JE,10/23/2025,-20,MASPC Quarterly Financials    ,USD,0,-120001,GL,09/30/2025,               ,87000,     ,N1019,146072136,Global Ledger Transaction Interface created
AHF,202509_0087,38,87,0,87,300015,JE,08/26/2025,-21,MASPC Quarterly Financials    ,USD,0,120001,GL,45666,               ,87000,     ,A2019,146071749,Global Ledger Transaction Interface created
AHF,202509_0087,39,87,0,87,440040,JE,10/23/2025,-21,MASPC Quarterly Financials    ,USD,0,-7944,GL,09/30/2025,               ,87030,     ,N1020,146072137,Global Ledger Transaction Interface created
AHF,202509_0087,40,87,0,87,440040,JE,08/26/2025,-22,MASPC Quarterly Financials    ,USD,0,4624,GL,45666,               ,87030,     ,A2020,146071750,Global Ledger Transaction Interface created
AHF,202509_0087,41,87,0,87,440150,JE,10/23/2025,-22,MASPC Quarterly Financials    ,USD,0,-1163453,GL,09/30/2025,               ,87030,     ,N1021,146072138,Global Ledger Transaction Interface created
AHF,202509_0087,42,87,0,87,440150,JE,08/26/2025,-23,MASPC Quarterly Financials    ,USD,0,686250,GL,45666,               ,87030,     ,A2021,146071751,Global Ledger Transaction Interface created
