FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202501_0083,1,83,0,83,100000,MR,01/24/2025,MEDIPAC-8-1,MEDIPAC DAILY                 ,USD,0.00,-100.00,GL,01/23/2025,               ,83000          ,     ,N801,139819777
AHF,202501_0083,2,83,0,83,100000,MR,01/23/2025,MEDIPAC-7-1,MEDIPAC DAILY                 ,USD,0.00,100.00,GL,01/22/2025,               ,83000          ,     ,N701,139812944
AHF,202501_0083,3,83,0,83,100000,MR,01/22/2025,MEDIPAC-6-1,MEDIPAC DAILY                 ,USD,0.00,1040.00,GL,01/21/2025,               ,83000          ,     ,N601,139807800
AHF,202501_0083,4,83,0,83,100000,AP,01/10/2025,      5977-3-2,Cash Disbursement             ,USD,0.00,-79.98,AP,01/10/2025,               ,83000          ,     ,N302,139709696
AHF,202501_0083,5,83,0,83,100000,AP,01/10/2025,      5976-3-1,Cash Disbursement             ,USD,0.00,-3500.00,AP,01/10/2025,               ,83000          ,     ,N301,139709695
AHF,202501_0083,6,83,0,83,100000,AP,01/03/2025,      5975-1-1,Cash Disbursement             ,USD,0.00,-190.00,AP,01/03/2025,               ,83000          ,     ,N101,139623049
AHF,202501_0083,7,83,0,83,101010,MR,02/01/2025,MEDIPAC-9-1,MEDIPAC DAILY                 ,USD,0.00,230.00,GL,01/31/2025,               ,83000          ,     ,N901,140649514
AHF,202501_0083,8,83,0,83,101010,MR,01/24/2025,MEDIPAC-8-3,MEDIPAC DAILY                 ,USD,0.00,-100.00,GL,01/23/2025,               ,83000          ,     ,N803,139819779
AHF,202501_0083,9,83,0,83,101010,MR,01/24/2025,MEDIPAC-8-2,MEDIPAC DAILY                 ,USD,0.00,100.00,GL,01/23/2025,               ,83000          ,     ,N802,139819778
AHF,202501_0083,10,83,0,83,101010,MR,01/22/2025,MEDIPAC-6-2,MEDIPAC DAILY                 ,USD,0.00,-1040.00,GL,01/21/2025,               ,83000          ,     ,N602,139807801
AHF,202501_0083,11,83,0,83,101010,MR,01/16/2025,MEDIPAC-5-1,MEDIPAC DAILY                 ,USD,0.00,-600.00,GL,01/15/2025,               ,83000          ,     ,N501,139771030
AHF,202501_0083,12,83,0,83,101010,MR,01/15/2025,MEDIPAC-4-1,MEDIPAC DAILY                 ,USD,0.00,-192.41,GL,01/14/2025,               ,83000          ,     ,N401,139764673
AHF,202501_0083,13,83,0,83,101010,MR,01/11/2025,MEDIPAC-3-1,MEDIPAC DAILY                 ,USD,0.00,-2646.00,GL,01/10/2025,               ,83000          ,     ,N301,139720959
AHF,202501_0083,14,83,0,83,101010,MR,01/10/2025,MEDIPAC-2-1,MEDIPAC DAILY                 ,USD,0.00,-173.63,GL,01/09/2025,               ,83000          ,     ,N201,139708835
AHF,202501_0083,15,83,0,83,101010,MR,01/08/2025,MEDIPAC-1-1,MEDIPAC DAILY                 ,USD,0.00,-799.83,GL,01/07/2025,               ,83000          ,     ,N101,139675323
AHF,202501_0083,16,83,0,83,102250,JE,02/13/2025,-10-1,P1 UHJV Allowances            ,USD,0.00,5221.87,GL,01/31/2025,               ,83000          ,     ,N1001,141039370
AHF,202501_0083,17,83,0,83,104000,CB,02/04/2025,GL40-100048-2,Auto offset from company 0010 ,USD,0.00,37.71,GL,01/31/2025,               ,83000          ,     ,I10004802,140850522
AHF,202501_0083,18,83,0,83,113010,DE,01/31/2025,AM190-1-1,Summarized transaction        ,USD,0.00,-1028.04,AM,01/31/2025,               ,83000          ,     ,N101,140870115
AHF,202501_0083,19,83,0,83,113030,DE,01/31/2025,AM190-1-2,Summarized transaction        ,USD,0.00,-432.27,AM,01/31/2025,               ,83000          ,     ,N102,140870116
AHF,202501_0083,20,83,0,83,113040,DE,01/31/2025,AM190-1-3,Summarized transaction        ,USD,0.00,-8541.26,AM,01/31/2025,               ,83000          ,     ,N103,140870117
AHF,202501_0083,21,83,0,83,200000,AP,01/10/2025,      5977-3-4,Payment Accrual               ,USD,0.00,79.98,AP,01/10/2025,               ,83000          ,     ,N304,139709698
AHF,202501_0083,22,83,0,83,200000,AP,01/10/2025,      5976-3-3,Payment Accrual               ,USD,0.00,3500.00,AP,01/10/2025,               ,83000          ,     ,N303,139709697
AHF,202501_0083,23,83,0,83,200000,AC,12/24/2024,AP175-2-1,Accounts Payable Accrual      ,USD,0.00,-79.98,AP,01/06/2025,               ,83000          ,     ,N201,139669508
AHF,202501_0083,24,83,0,83,200000,AP,01/03/2025,      5975-1-2,Payment Accrual               ,USD,0.00,190.00,AP,01/03/2025,               ,83000          ,     ,N102,139623050
AHF,202501_0083,25,83,0,83,410215,MR,02/01/2025,MEDIPAC-9-2,MEDIPAC DAILY                 ,USD,0.00,-230.00,GL,01/31/2025,               ,83021          ,     ,N902,140649515
AHF,202501_0083,26,83,0,83,411160,JE,02/13/2025,-10-2,P1 UHJV Allowances            ,USD,0.00,-5221.87,GL,01/31/2025,               ,83021          ,     ,N1002,141039371
AHF,202501_0083,27,83,0,83,411215,MR,01/24/2025,MEDIPAC-8-4,MEDIPAC DAILY                 ,USD,0.00,100.00,GL,01/23/2025,               ,83021          ,     ,N804,139819780
AHF,202501_0083,28,83,0,83,411215,MR,01/15/2025,MEDIPAC-4-2,MEDIPAC DAILY                 ,USD,0.00,192.41,GL,01/14/2025,               ,83021          ,     ,N402,139764674
AHF,202501_0083,29,83,0,83,411265,MR,01/10/2025,MEDIPAC-2-2,MEDIPAC DAILY                 ,USD,0.00,173.63,GL,01/09/2025,               ,83021          ,     ,N202,139708836
AHF,202501_0083,30,83,0,83,411415,MR,01/16/2025,MEDIPAC-5-2,MEDIPAC DAILY                 ,USD,0.00,600.00,GL,01/15/2025,               ,83021          ,     ,N502,139771031
AHF,202501_0083,31,83,0,83,412255,MR,01/11/2025,MEDIPAC-3-2,MEDIPAC DAILY                 ,USD,0.00,2646.00,GL,01/10/2025,               ,83021          ,     ,N302,139720960
AHF,202501_0083,32,83,0,83,412255,MR,01/08/2025,MEDIPAC-1-2,MEDIPAC DAILY                 ,USD,0.00,799.83,GL,01/07/2025,               ,83021          ,     ,N102,139675324
AHF,202501_0083,33,83,0,83,412355,MR,01/23/2025,MEDIPAC-7-2,MEDIPAC DAILY                 ,USD,0.00,-100.00,GL,01/22/2025,               ,83021          ,     ,N702,139812945
AHF,202501_0083,34,83,0,83,736010,AD,12/24/2024,      4452-2-2,    15836CHARTER COMM HOLDINGS,USD,0.00,79.98,AP,01/06/2025,               ,83021          ,     ,N202,139669509
AHF,202501_0083,35,83,0,83,736010,JE,02/04/2025,-100048-1,Spectrum 01/07/25             ,USD,0.00,-37.71,GL,01/31/2025,               ,83021          ,     ,I10004801,140850520
AHF,202501_0083,36,83,0,83,741000,DE,01/31/2025,AM190-1-4,Summarized transaction        ,USD,0.00,1028.04,AM,01/31/2025,               ,83021          ,     ,N104,140870118
AHF,202501_0083,37,83,0,83,741020,DE,01/31/2025,AM190-1-5,Summarized transaction        ,USD,0.00,8541.26,AM,01/31/2025,               ,83021          ,     ,N105,140870119
AHF,202501_0083,38,83,0,83,741030,DE,01/31/2025,AM190-1-6,Summarized transaction        ,USD,0.00,432.27,AM,01/31/2025,               ,83021          ,     ,N106,140870120

