FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202509_0083,1,83,0,83,100000,MR,09/13/2025,MEDIPAC-4-1,MEDIPAC DAILY                 ,USD,0.00,50.00,GL,09/12/2025,               ,83000          ,     ,N401,145149601
AHF,202509_0083,2,83,0,83,101010,MR,09/06/2025,MEDIPAC-2-1,MEDIPAC DAILY                 ,USD,0.00,-223.00,GL,09/05/2025,               ,83000          ,     ,N201,145065106
AHF,202509_0083,3,83,0,83,101010,MR,09/06/2025,MEDIPAC-2-2,MEDIPAC DAILY                 ,USD,0.00,223.00,GL,09/05/2025,               ,83000          ,     ,N202,145065107
AHF,202509_0083,4,83,0,83,101010,MR,09/13/2025,MEDIPAC-4-2,MEDIPAC DAILY                 ,USD,0.00,-50.00,GL,09/12/2025,               ,83000          ,     ,N402,145149602
AHF,202509_0083,5,83,0,83,101010,MR,09/16/2025,MEDIPAC-5-1,MEDIPAC DAILY                 ,USD,0.00,50.00,GL,09/15/2025,               ,83000          ,     ,N501,145379467
AHF,202509_0083,6,83,0,83,411435,MR,09/16/2025,MEDIPAC-5-2,MEDIPAC DAILY                 ,USD,0.00,-50.00,GL,09/15/2025,               ,83021          ,     ,N502,145379468
AHF,202509_0083,7,83,0,83,412485,JE,10/02/2025,-100036-1,Error Log Entries             ,USD,0.00,4096.35,GL,09/30/2025,               ,83021          ,     ,I10003601,145626384
AHF,202509_0083,8,83,0,83,412490,JE,10/02/2025,-100036-2,Error Log Entries             ,USD,0.00,-4096.35,GL,09/30/2025,               ,83021          ,     ,I10003602,145626385

