FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID
AHF,202510_0083,1,83,0,83,100000,MR,10/15/2025,MEDIPAC-1-1,MEDIPAC DAILY                 ,USD,0.00,30.00,GL,10/14/2025,               ,83000          ,     ,N101,145978760
AHF,202510_0083,2,83,0,83,101010,MR,10/15/2025,MEDIPAC-1-2,MEDIPAC DAILY                 ,USD,0.00,-30.00,GL,10/14/2025,               ,83000          ,     ,N102,145978761
AHF,202510_0083,3,83,0,83,101010,MR,10/16/2025,MEDIPAC-2-1,MEDIPAC DAILY                 ,USD,0.00,30.00,GL,10/15/2025,               ,83000          ,     ,N201,145985035
AHF,202510_0083,4,83,0,83,101010,MR,11/01/2025,MEDIPAC-4-2,MEDIPAC DAILY                 ,USD,0.00,205.69,GL,10/31/2025,               ,83000          ,     ,N402,146131981
AHF,202510_0083,5,83,0,83,101010,MR,11/01/2025,MEDIPAC-4-1,MEDIPAC DAILY                 ,USD,0.00,-205.69,GL,10/31/2025,               ,83000          ,     ,N401,146131980
AHF,202510_0083,6,83,0,83,411415,MR,10/16/2025,MEDIPAC-2-2,MEDIPAC DAILY                 ,USD,0.00,-30.00,GL,10/15/2025,               ,83021          ,     ,N202,145985036
AHF,202510_0083,7,83,0,83,412485,JE,11/04/2025,-100049-1,Error Log Entries             ,USD,0.00,3625.52,GL,10/31/2025,               ,83021          ,     ,I10004901,146287521
AHF,202510_0083,8,83,0,83,412490,JE,11/04/2025,-100049-2,Error Log Entries             ,USD,0.00,-3625.52,GL,10/31/2025,               ,83021          ,     ,I10004902,146287522

