FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber,GLTObjectID,Column1
AHF,202505_0036,1,36,0,36,100008,AP,5/1/2025,AP170-1-1,Summarized transaction        ,USD,0,-208.47,AP,5/1/2025,               ,36010,     ,N101,142555429,Global Ledger Transaction Interface created
AHF,202505_0036,2,36,0,36,100008,AP,5/1/2025,      6496-1-11,Cash Disbursement             ,USD,0,-1663,AP,5/1/2025,               ,36010,     ,N1011,142555439,Global Ledger Transaction Interface created
AHF,202505_0036,3,36,0,36,100008,AP,5/1/2025,      6495-1-10,Cash Disbursement             ,USD,0,-5683.06,AP,5/1/2025,               ,36010,     ,N1010,142555438,Global Ledger Transaction Interface created
AHF,202505_0036,4,36,0,36,100008,AP,5/1/2025,      6494-1-9,Cash Disbursement             ,USD,0,-46.32,AP,5/1/2025,               ,36010,     ,N109,142555437,Global Ledger Transaction Interface created
AHF,202505_0036,5,36,0,36,100008,AP,5/1/2025,      6493-1-8,Cash Disbursement             ,USD,0,-45.25,AP,5/1/2025,               ,36010,     ,N108,142555436,Global Ledger Transaction Interface created
AHF,202505_0036,6,36,0,36,100008,AP,5/1/2025,AP170-1-7,Summarized transaction        ,USD,0,-47.21,AP,5/1/2025,               ,36010,     ,N107,142555435,Global Ledger Transaction Interface created
AHF,202505_0036,7,36,0,36,100008,AP,5/1/2025,      6491-1-6,Cash Disbursement             ,USD,0,-40,AP,5/1/2025,               ,36010,     ,N106,142555434,Global Ledger Transaction Interface created
AHF,202505_0036,8,36,0,36,100008,AP,5/1/2025,      6490-1-5,Cash Disbursement             ,USD,0,-165.65,AP,5/1/2025,               ,36010,     ,N105,142555433,Global Ledger Transaction Interface created
AHF,202505_0036,9,36,0,36,100008,AP,5/1/2025,      6489-1-4,Cash Disbursement             ,USD,0,-666.75,AP,5/1/2025,               ,36010,     ,N104,142555432,Global Ledger Transaction Interface created
AHF,202505_0036,10,36,0,36,100008,AP,5/1/2025,      6488-1-3,Cash Disbursement             ,USD,0,-347.97,AP,5/1/2025,               ,36010,     ,N103,142555431,Global Ledger Transaction Interface created
AHF,202505_0036,11,36,0,36,100008,AP,5/1/2025,      6487-1-2,Cash Disbursement             ,USD,0,-37601.96,AP,5/1/2025,               ,36010,     ,N102,142555430,Global Ledger Transaction Interface created
AHF,202505_0036,12,36,0,36,100008,AP,5/14/2025,     21901-23-86,Cash Disbursement             ,USD,0,-62.9,AP,5/14/2025,               ,36010,     ,N23086,142863176,Global Ledger Transaction Interface created
AHF,202505_0036,13,36,0,36,100008,AP,5/14/2025,     21900-23-85,Cash Disbursement             ,USD,0,-10,AP,5/14/2025,               ,36010,     ,N23085,142863175,Global Ledger Transaction Interface created
AHF,202505_0036,14,36,0,36,100008,AP,5/14/2025,     21899-23-84,Cash Disbursement             ,USD,0,-10,AP,5/14/2025,               ,36010,     ,N23084,142863174,Global Ledger Transaction Interface created
AHF,202505_0036,15,36,0,36,100008,AP,5/14/2025,     21898-23-83,Cash Disbursement             ,USD,0,-5,AP,5/14/2025,               ,36010,     ,N23083,142863173,Global Ledger Transaction Interface created
AHF,202505_0036,16,36,0,36,100008,AP,5/14/2025,     21897-23-82,Cash Disbursement             ,USD,0,-23,AP,5/14/2025,               ,36010,     ,N23082,142863172,Global Ledger Transaction Interface created
AHF,202505_0036,17,36,0,36,100008,AP,5/14/2025,     21896-23-81,Cash Disbursement             ,USD,0,-5,AP,5/14/2025,               ,36010,     ,N23081,142863171,Global Ledger Transaction Interface created
AHF,202505_0036,18,36,0,36,100008,AP,5/14/2025,     21895-23-80,Cash Disbursement             ,USD,0,-121.69,AP,5/14/2025,               ,36010,     ,N23080,142863170,Global Ledger Transaction Interface created
AHF,202505_0036,19,36,0,36,100008,AP,5/14/2025,     21894-23-79,Cash Disbursement             ,USD,0,-64.73,AP,5/14/2025,               ,36010,     ,N23079,142863169,Global Ledger Transaction Interface created
AHF,202505_0036,20,36,0,36,100008,AP,5/14/2025,     21893-23-78,Cash Disbursement             ,USD,0,-20,AP,5/14/2025,               ,36010,     ,N23078,142863168,Global Ledger Transaction Interface created
AHF,202505_0036,21,36,0,36,100008,AP,5/14/2025,     21892-23-77,Cash Disbursement             ,USD,0,-10,AP,5/14/2025,               ,36010,     ,N23077,142863167,Global Ledger Transaction Interface created
AHF,202505_0036,22,36,0,36,100008,AP,5/14/2025,     21891-23-76,Cash Disbursement             ,USD,0,-31.78,AP,5/14/2025,               ,36010,     ,N23076,142863166,Global Ledger Transaction Interface created
AHF,202505_0036,23,36,0,36,100008,AP,5/14/2025,     21890-23-75,Cash Disbursement             ,USD,0,-115.53,AP,5/14/2025,               ,36010,     ,N23075,142863165,Global Ledger Transaction Interface created
AHF,202505_0036,24,36,0,36,100008,AP,5/14/2025,     21889-23-74,Cash Disbursement             ,USD,0,-20,AP,5/14/2025,               ,36010,     ,N23074,142863164,Global Ledger Transaction Interface created
AHF,202505_0036,25,36,0,36,100008,AP,5/14/2025,     21888-23-73,Cash Disbursement             ,USD,0,-20,AP,5/14/2025,               ,36010,     ,N23073,142863163,Global Ledger Transaction Interface created
AHF,202505_0036,26,36,0,36,100008,AP,5/14/2025,     21887-23-72,Cash Disbursement             ,USD,0,-10,AP,5/14/2025,               ,36010,     ,N23072,142863162,Global Ledger Transaction Interface created
AHF,202505_0036,27,36,0,36,100008,AP,5/14/2025,     21886-23-71,Cash Disbursement             ,USD,0,-33.41,AP,5/14/2025,               ,36010,     ,N23071,142863161,Global Ledger Transaction Interface created
