load_family_root,single_or_multiple,member_count,family_root_base_count,family_root_bases_csv,family_root_bases_present_in_fsm_csv,variant_base_count,variant_bases_csv,related_member_count,related_members_csv,members_csv
Patient,single,1,1,PatientInterface,,1,PatientInterface,1,PatientInterfaceInput,PatientInterfaceInput
ProjectAsset,single,1,1,ProjectAssetInterface,ProjectAssetInterface,1,ProjectAssetInterface,0,,ProjectAssetInterface
PurchasingArrival,single,1,1,PurchasingArrivalInterface,PurchasingArrivalInterface,1,PurchasingArrivalInterface,0,,PurchasingArrivalInterface
Receipt,single,1,1,ReceiptInterface,,1,ReceiptInterface,1,ReceiptInterfaceInput,ReceiptInterfaceInput
ReceivableApplication,single,1,1,ReceivableApplicationImport,ReceivableApplicationImport,1,ReceivableApplicationImport,0,,ReceivableApplicationImport
ReceivableApplicationAdjustment,single,1,1,ReceivableApplicationAdjustmentImport,ReceivableApplicationAdjustmentImport,1,ReceivableApplicationAdjustmentImport,0,,ReceivableApplicationAdjustmentImport
ReceivableInvoiceDistributionSGBLK,single,1,1,ReceivableInvoiceDistributionSGBLKImport,ReceivableInvoiceDistributionSGBLKImport,1,ReceivableInvoiceDistributionSGBLKImport,0,,ReceivableInvoiceDistributionSGBLKImport
ReceivableLockBox,single,1,1,ReceivableLockBoxImport,ReceivableLockBoxImport,1,ReceivableLockBoxImport,0,,ReceivableLockBoxImport
Receivables,single,1,1,ReceivablesInterface,,1,ReceivablesInterface,1,ReceivablesInterfaceResult,ReceivablesInterfaceResult
Reconciliation,single,1,1,ReconciliationInterface,ReconciliationInterface,1,ReconciliationInterface,0,,ReconciliationInterface
SalesBudget,single,1,1,SalesBudgetInterface,SalesBudgetInterface,1,SalesBudgetInterface,0,,SalesBudgetInterface
ShipToLoad,single,1,1,ShipToLoadImport,ShipToLoadImport,1,ShipToLoadImport,0,,ShipToLoadImport
TrueCostAssetManagement,single,1,1,TrueCostAssetManagementInterface,TrueCostAssetManagementInterface,1,TrueCostAssetManagementInterface,0,,TrueCostAssetManagementInterface
