business_class,description,is_load_business_class,single_or_multiple,load_family_root,family_root_base,family_root_base_exists_as_business_class,load_variant_base,variant_root_exists_as_business_class,naming_pattern,is_exact_variant_base,relationship_role,grouping_method,family_member_count,family_root_base_count,variant_bases_csv,related_members_csv,related_business_classes_csv
AM258Am258sort,The AM258Am258sort Raw Data Web Service contains operations that expose AM258Am258sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM260Am260sort,The AM260Am260sort Raw Data Web Service contains operations that expose AM260Am260sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM265Am265sort,The AM265Am265sort Raw Data Web Service contains operations that expose AM265Am265sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM267Am267sort,The AM267Am267sort Raw Data Web Service contains operations that expose AM267Am267sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM275Am275sort,The AM275Am275sort Raw Data Web Service contains operations that expose AM275Am275sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM277Am277sort,The AM277Am277sort Raw Data Web Service contains operations that expose AM277Am277sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM278Am278sort,The AM278Am278sort Raw Data Web Service contains operations that expose AM278Am278sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM280Am280sort,The AM280Am280sort Raw Data Web Service contains operations that expose AM280Am280sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM281Am281work,The AM281Am281work Raw Data Web Service contains operations that expose AM281Am281work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM282Work,The AM282Work Raw Data Web Service contains operations that expose AM282Work-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM285Am285sort,The AM285Am285sort Raw Data Web Service contains operations that expose AM285Am285sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM287Am287sort,The AM287Am287sort Raw Data Web Service contains operations that expose AM287Am287sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM290Am290sort,The AM290Am290sort Raw Data Web Service contains operations that expose AM290Am290sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM292Am292sort,The AM292Am292sort Raw Data Web Service contains operations that expose AM292Am292sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM295Am295sort,The AM295Am295sort Raw Data Web Service contains operations that expose AM295Am295sort-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AbaOut,The AM300AbaOut Raw Data Web Service contains operations that expose AM300AbaOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AbdOut,The AM300AbdOut Raw Data Web Service contains operations that expose AM300AbdOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AbkOut,The AM300AbkOut Raw Data Web Service contains operations that expose AM300AbkOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AbtOut,The AM300AbtOut Raw Data Web Service contains operations that expose AM300AbtOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AdsOut,The AM300AdsOut Raw Data Web Service contains operations that expose AM300AdsOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AiaOut,The AM300AiaOut Raw Data Web Service contains operations that expose AM300AiaOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AmtOut,The AM300AmtOut Raw Data Web Service contains operations that expose AM300AmtOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AsaOut,The AM300AsaOut Raw Data Web Service contains operations that expose AM300AsaOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AsbOut,The AM300AsbOut Raw Data Web Service contains operations that expose AM300AsbOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AsdOut,The AM300AsdOut Raw Data Web Service contains operations that expose AM300AsdOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AsiOut,The AM300AsiOut Raw Data Web Service contains operations that expose AM300AsiOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
AM300AsrOut,The AM300AsrOut Raw Data Web Service contains operations that expose AM300AsrOut-related data in the Infor Enterprise Business Services.,N,non_load,,,,,,,,,non_load,0,0,,,
